JID,JTYPE,VERDICT
"TPDM,94,易,1914,20051223,1",CRIMINAL,Lose
"KSDM,103,智簡,110,20140709,1",CRIMINAL,Lose
"TYDM,101,壢智簡,18,20120731,1",CRIMINAL,Lose
"CHDM,98,簡,2149,20091030,1",CRIMINAL,Lose
"PTDM,92,易,610,20040206,3",CRIMINAL,Lose
"TYDM,95,易,147,20060516,1",CRIMINAL,Win
"TNDM,112,智易,19,20231107,1",CRIMINAL,Lose
"PTDM,98,簡,1728,20091030,1",CRIMINAL,Lose
"TCDM,96,中簡,2253,20080529,1",CRIMINAL,Lose
"KSDM,90,訴,1177,20020819,2",CRIMINAL,Lose
"CHDM,101,智簡,40,20121224,1",CRIMINAL,Lose
"TPHM,95,上訴,4207,20070517,1",CRIMINAL,Lose
"TYDM,94,簡上,109,20050524,1",CRIMINAL,Lose
"IPCM,97,刑智上訴,43,20090108,1",CRIMINAL,Lose
"KLDM,100,智簡上,1,20110803,2",CRIMINAL,Lose
"KLDM,98,基簡,865,20091130,1",CRIMINAL,Lose
"PTDM,111,原智簡,1,20230130,1",CRIMINAL,Lose
"TPHM,92,上更(一),353,20030812,1",CRIMINAL,Lose
"PCDM,107,智簡,52,20180914,1",CRIMINAL,Lose
"PCDM,106,智簡,72,20171206,1",CRIMINAL,Lose
"TPDM,91,簡上,196,20030227,1",CRIMINAL,Lose
"TPDM,110,智簡,74,20220122,1",CRIMINAL,Lose
"KSDM,105,智簡,109,20170203,1",CRIMINAL,Lose
"MLDM,102,智訴,3,20131023,2",CRIMINAL,Lose
"PCDM,104,智簡,33,20150617,1",CRIMINAL,Lose
"SLDM,90,易,149,20020813,3",CRIMINAL,Lose
"TNDM,102,智易,21,20140604,1",CRIMINAL,Lose
"SCDM,102,智簡,52,20131210,1",CRIMINAL,Lose
"TPDM,103,智簡,9,20140425,1",CRIMINAL,Lose
"MLDM,99,苗簡,106,20100226,1",CRIMINAL,Lose
"CYDM,104,智簡,39,20151130,1",CRIMINAL,Lose
"KLDM,101,基智簡,8,20130227,1",CRIMINAL,Lose
"TCDM,111,智簡,16,20220729,1",CRIMINAL,Lose
"SLDM,111,智簡,7,20220829,1",CRIMINAL,Lose
"TYDM,96,壢簡,2049,20061108,1",CRIMINAL,Lose
"PCDM,110,智簡,71,20211230,1",CRIMINAL,Lose
"IPCM,111,刑智上易,45,20230118,1",CRIMINAL,Lose
"TPDM,89,易,1665,20000915",CRIMINAL,Lose
"KSHM,92,上易,1202,20031028,1",CRIMINAL,Lose
"IPCM,105,刑智上易,78,20170725,1",CRIMINAL,Lose
"KLDM,95,基簡,424,20060510,1",CRIMINAL,Lose
"KSDM,97,簡,530,20080331,1",CRIMINAL,Lose
"IPCM,106,刑智上易,28,20170629,1",CRIMINAL,Lose
"SLDM,104,審智簡,8,20150616,1",CRIMINAL,Lose
"TTDM,94,東簡,33,20050125,1",CRIMINAL,Lose
"CYDM,112,智簡,12,20230615,1",CRIMINAL,Lose
"PTDM,97,簡,789,20080530,1",CRIMINAL,Lose
"TCHM,95,上訴,396,20060420,1",CRIMINAL,Lose
"TNDM,109,智簡,62,20200925,1",CRIMINAL,Lose
"TNDM,92,易,1402,20041116,3",CRIMINAL,Lose
"TCDM,109,智易,60,20201123,1",CRIMINAL,Lose
"TPDM,96,易,1694,20071123,2",CRIMINAL,Win
"CHDM,110,智簡,32,20210715,1",CRIMINAL,Lose
"TCDM,103,中智簡,99,20150130,1",CRIMINAL,Lose
"TCDM,100,中智簡,99,20120203,1",CRIMINAL,Lose
"PCDM,98,簡上,106,20090421,1",CRIMINAL,Lose
"KSDM,100,智簡,300,20120207,1",CRIMINAL,Lose
"CHDM,102,智簡,1,20130322,1",CRIMINAL,Lose
"TCDM,99,智易,56,20101022,1",CRIMINAL,Lose
"PCDM,100,智簡,71,20110812,1",CRIMINAL,Lose
"TNDM,93,簡,1897,20040820,1",CRIMINAL,Lose
"KLDM,92,訴,331,20031030,1",CRIMINAL,Lose
"TYDM,100,智簡,2,20111212,1",CRIMINAL,Lose
"TPSM,103,台上,1162,20140410",CRIMINAL,Lose
"PCDM,95,簡,5756,20070320,1",CRIMINAL,Lose
"KSDM,89,易,5502,20010120,2",CRIMINAL,Lose
"PTDM,92,簡,664,20031106,1",CRIMINAL,Lose
"TPHM,93,上訴,402,20040430,1",CRIMINAL,Lose
"TCHM,94,上更(一),100,20050526,1",CRIMINAL,Lose
"PCDM,100,智簡,69,20120229,1",CRIMINAL,Lose
"TCDM,107,智簡,10,20180328,1",CRIMINAL,Lose
"PCDM,99,智簡,93,20101105,1",CRIMINAL,Lose
"TYDM,112,桃智簡,6,20230407,1",CRIMINAL,Lose
"TNDM,89,易,455,20010404,3",CRIMINAL,Lose
"KSDM,110,智簡,20,20210621,1",CRIMINAL,Lose
"CHDM,98,簡,1299,20090701,1",CRIMINAL,Lose
"TNDM,102,智訴,11,20140827,1",CRIMINAL,Lose
"PCDM,97,簡上,254,20080708,1",CRIMINAL,Lose
"TCDM,92,自,107,20030711,1",CRIMINAL,Lose
"IPCM,107,刑智上易,8,20180828,1",CRIMINAL,Lose
"KSDM,107,智簡上,3,20180816,1",CRIMINAL,Lose
"PCDM,100,智訴,30,20120329,1",CRIMINAL,Lose
"IPCM,110,刑智上易,39,20210625,1",CRIMINAL,Lose
"KSDM,104,智簡,44,20150831,1",CRIMINAL,Lose
"IPCM,100,刑智上訴,25,20110727,1",CRIMINAL,Lose
"TPDM,89,易,97,20000523,1",CRIMINAL,Lose
"IPCM,105,刑智上訴,9,20160804,1",CRIMINAL,Lose
"CHDM,106,智簡,17,20170823,1",CRIMINAL,Lose
"TCDM,101,中智簡,29,20120315,1",CRIMINAL,Lose
"KSDM,92,易,2024,20040521,1",CRIMINAL,Win
"SCDM,97,竹簡,1057,20081003,1",CRIMINAL,Lose
"TYDM,112,審智簡,18,20240312,1",CRIMINAL,Lose
"TPDM,105,智簡,46,20161118,1",CRIMINAL,Lose
"CHDM,106,智簡,23,20171108,1",CRIMINAL,Lose
"TPDM,108,智易,36,20200116,1",CRIMINAL,Win
"IPCM,103,刑智上易,76,20141119,1",CRIMINAL,Lose
"TPDM,109,智簡,30,20200513,1",CRIMINAL,Lose
"PTDM,111,智簡,19,20230330,1",CRIMINAL,Lose
"TCDM,102,智簡,22,20130731,1",CRIMINAL,Lose
"TCDM,102,中智簡,17,20130401,1",CRIMINAL,Lose
"KSDM,96,訴,2486,20070731,1",CRIMINAL,Lose
"HLDM,90,易,610,20020425,1",CRIMINAL,Lose
"TCDM,102,中智簡,39,20130723,1",CRIMINAL,Lose
"PTDM,105,審智易,2,20160617,1",CRIMINAL,Lose
"IPCM,107,刑智上訴,20,20181011,1",CRIMINAL,Lose
"KLDM,97,基簡,857,20080725,1",CRIMINAL,Lose
"CYDM,94,朴簡,206,20051209,1",CRIMINAL,Lose
"CHDM,101,智簡,13,20120229,1",CRIMINAL,Lose
"TYDM,97,桃簡,781,20080403,1",CRIMINAL,Lose
"MLDM,96,苗簡,414,20070522,1",CRIMINAL,Lose
"KSDM,110,智簡,13,20210510,1",CRIMINAL,Lose
"NTDM,102,投智簡,3,20140225,1",CRIMINAL,Lose
"TYDM,105,智訴,9,20170720,1",CRIMINAL,Lose
"FYEM,113,豐智簡,5,20240618,1",CRIMINAL,Lose
"KSDM,90,訴,2293,20011129,1",CRIMINAL,Lose
"TPDM,103,智簡,89,20141226,1",CRIMINAL,Lose
"KSDM,107,智簡,7,20180206,1",CRIMINAL,Lose
"SLDM,94,簡,384,20051031,1",CRIMINAL,Lose
"IPCM,109,刑智上易,39,20201029,1",CRIMINAL,Win
"TCDM,93,訴緝,234,20040602,1",CRIMINAL,Lose
"SCDM,93,竹簡,315,20040609,1",CRIMINAL,Lose
"TNDM,111,智簡,10,20220630,1",CRIMINAL,Lose
"CHDM,107,智簡,7,20180331,1",CRIMINAL,Lose
"TYDM,113,審智簡,5,20240928,1",CRIMINAL,Lose
"HLDM,98,花簡,1,20090116,1",CRIMINAL,Lose
"KLDM,103,智易,2,20140815,1",CRIMINAL,Lose
"TCDM,107,智簡,8,20180525,1",CRIMINAL,Lose
"TYDM,89,易,44,20000202",CRIMINAL,Lose
"SCDM,103,智簡,8,20140423,1",CRIMINAL,Lose
"CYDM,106,智簡,44,20171128,1",CRIMINAL,Lose
"SLDM,90,簡,955,20011221,1",CRIMINAL,Lose
"NTDM,111,智易,7,20221214,1",CRIMINAL,Lose
"KSDM,96,簡,6743,20080519,1",CRIMINAL,Lose
"TCDM,106,智簡,19,20170630,1",CRIMINAL,Lose
"TPDM,110,智簡上,5,20220512,1",CRIMINAL,Lose
"PCDM,106,智簡,54,20170831,1",CRIMINAL,Lose
"CTDM,108,智簡,13,20190604,1",CRIMINAL,Lose
"PCDM,91,易,2552,20050722,1",CRIMINAL,Win
"SLDM,112,智簡,9,20231030,1",CRIMINAL,Lose
"PCDM,92,易,1647,20030801,1",CRIMINAL,Lose
"CHDM,102,智簡,26,20131014,1",CRIMINAL,Lose
"HLDM,103,智易,2,20140902,1",CRIMINAL,Lose
"TNDM,100,智簡,59,20111207,1",CRIMINAL,Lose
"KMDM,106,智易,3,20180524,1",CRIMINAL,Win
"IPCM,105,刑智上易,104,20170330,1",CRIMINAL,Lose
"IPCM,106,刑智上訴,37,20190430,1",CRIMINAL,Lose
"TPDM,91,簡,4494,20030102,1",CRIMINAL,Lose
"SDEM,102,沙智簡,13,20130904,1",CRIMINAL,Lose
"TPDM,97,簡,778,20080311,1",CRIMINAL,Lose
"KSDM,101,審智訴,25,20121101,1",CRIMINAL,Lose
"TNDM,91,易,1756,20030213,1",CRIMINAL,Win
"TPDM,104,智簡,24,20150903,1",CRIMINAL,Lose
"TNDM,100,智簡,64,20111219,1",CRIMINAL,Lose
"TYDM,95,桃簡,2346,20061122,1",CRIMINAL,Lose
"PCDM,88,訴,1950,20000320",CRIMINAL,Lose
"IPCM,107,刑智上更(一),1,20181019,1",CRIMINAL,Lose
"TCDM,111,中智簡,70,20221115,1",CRIMINAL,Lose
"KSDM,112,智簡,46,20231205,1",CRIMINAL,Lose
"KSDM,100,智簡,79,20110623,1",CRIMINAL,Lose
"KSDM,100,智簡,309,20120110,1",CRIMINAL,Lose
"TCDM,108,智易,59,20191002,1",CRIMINAL,Win
"CYDM,93,訴,268,20041130,4",CRIMINAL,Lose
"TCDM,111,智易,42,20220914,1",CRIMINAL,Lose
"KSDM,106,智簡,80,20171225,1",CRIMINAL,Lose
"TNDM,100,智訴,6,20111025,1",CRIMINAL,Lose
"TCDM,92,易,2112,20030915,1",CRIMINAL,Lose
"HLDM,110,原智簡,1,20211018,1",CRIMINAL,Lose
"IPCM,101,刑智上訴,76,20130206,1",CRIMINAL,Lose
"KLDM,92,基簡,792,20031003,1",CRIMINAL,Lose
"TCDM,100,中智簡,35,20110531,1",CRIMINAL,Lose
"TCDM,112,智簡,42,20240315,1",CRIMINAL,Lose
"KSDM,102,智簡,235,20131204,1",CRIMINAL,Lose
"PCDM,97,訴,1354,20090327,1",CRIMINAL,Lose
"TNHM,92,上易,1002,20031120,1",CRIMINAL,Lose
"NTDM,103,投智簡,3,20141009,1",CRIMINAL,Lose
"TCHM,94,上易,1335,20060302,3",CRIMINAL,Lose
"TCDM,113,中智簡,14,20240329,1",CRIMINAL,Lose
"IPCM,107,刑智上訴,45,20191114,1",CRIMINAL,Win
"KSDM,92,簡上,616,20040128,1",CRIMINAL,Lose
"TPHM,92,上訴,4114,20040227,1",CRIMINAL,Lose
"TPDM,110,智簡,52,20211026,1",CRIMINAL,Lose
"SLDM,103,智訴,1,20150818,1",CRIMINAL,Lose
"TPDM,95,簡,774,20060331,1",CRIMINAL,Lose
"PCDM,99,智訴,6,20101118,1",CRIMINAL,Lose
"CHDM,103,智訴,4,20150730,1",CRIMINAL,Lose
"KSDM,110,智易,7,20220412,1",CRIMINAL,Lose
"SCDM,90,易,11,20010323,1",CRIMINAL,Lose
"KSDM,95,簡,2651,20060428,1",CRIMINAL,Lose
"ILDM,111,智簡,4,20221018,1",CRIMINAL,Lose
"KSDM,95,簡上,1458,20070208,1",CRIMINAL,Lose
"TYDM,111,智簡,1,20220811,1",CRIMINAL,Lose
"IPCM,109,刑智上易,42,20201105,1",CRIMINAL,Lose
"KSDM,93,簡,1902,20040721,1",CRIMINAL,Lose
"IPCM,98,刑智上更(一),18,20100104,2",CRIMINAL,Lose
"KSDM,101,審智訴,28,20130111,1",CRIMINAL,Lose
"SLDM,101,審智簡,15,20121011,1",CRIMINAL,Lose
"KSDM,98,易,763,20100416,1",CRIMINAL,Lose
"KLDM,101,智易,4,20130218,1",CRIMINAL,Win
"KSDM,105,智簡,22,20161011,1",CRIMINAL,Lose
"TPDM,93,簡,792,20040427,1",CRIMINAL,Lose
"TCDM,110,智簡,25,20210830,1",CRIMINAL,Lose
"SLEM,98,士簡,1066,20091221,1",CRIMINAL,Lose
"KSDM,89,訴,1740,20000831",CRIMINAL,Lose
"TPDM,91,簡,3360,20030305,1",CRIMINAL,Lose
"TYDM,108,審智簡,1,20190430,1",CRIMINAL,Lose
"PCDM,110,智簡,66,20211029,1",CRIMINAL,Lose
"TYDM,99,審智簡,4,20100625,1",CRIMINAL,Lose
"PCDM,95,簡,5319,20061229,1",CRIMINAL,Lose
"TPDM,104,智簡,9,20150209,1",CRIMINAL,Lose
"KSDM,90,訴,1708,20020227,1",CRIMINAL,Lose
"KSDM,107,智簡,44,20180920,1",CRIMINAL,Lose
"TYDM,105,審智簡,6,20160825,1",CRIMINAL,Lose
"CYDM,103,智簡上,2,20140708,1",CRIMINAL,Lose
"KSDM,112,智簡,47,20231225,1",CRIMINAL,Lose
"PCDM,92,易,1971,20030722,1",CRIMINAL,Lose
"TNDM,101,智易,5,20120427,1",CRIMINAL,Lose
"HLDM,107,花簡,97,20180223,1",CRIMINAL,Lose
"SLDM,105,審智簡,12,20160907,1",CRIMINAL,Lose
"IPCM,100,刑智上易,48,20110728,1",CRIMINAL,Lose
"TPDM,108,智易,34,20190821,1",CRIMINAL,Lose
"TPHM,90,上易,3280,20040512,1",CRIMINAL,Lose
"PCDM,112,智簡,40,20231110,1",CRIMINAL,Lose
"TCDM,97,中簡,2060,20080627,1",CRIMINAL,Lose
"TCDM,92,易,1154,20030606,1",CRIMINAL,Lose
"SLEM,112,士簡,846,20231130,1",CRIMINAL,Lose
"TYDM,92,易,647,20030829,1",CRIMINAL,Lose
"TPDM,96,易,1165,20070712,1",CRIMINAL,Lose
"TPDM,111,智易,52,20221103,1",CRIMINAL,Lose
"KSDM,103,智簡,24,20140430,1",CRIMINAL,Lose
"SCDM,99,審智簡,9,20101103,1",CRIMINAL,Lose
"CHDM,97,簡上,2,20080131,1",CRIMINAL,Lose
"PTDM,89,易,763,20010607,1",CRIMINAL,Lose
"TPDM,94,簡,1416,20050729,1",CRIMINAL,Lose
"TPDM,106,智簡上,1,20170608,1",CRIMINAL,Lose
"TNDM,112,原智簡,1,20230428,1",CRIMINAL,Lose
"PCDM,100,智訴,25,20121227,3",CRIMINAL,Lose
"KLDM,95,基簡,273,20060424,1",CRIMINAL,Lose
"TPDM,96,簡,1442,20070507,1",CRIMINAL,Lose
"TYDM,100,桃智簡,39,20110727,1",CRIMINAL,Lose
"KSDM,102,智簡,142,20131016,1",CRIMINAL,Lose
"TPDM,94,易,1103,20060427,1",CRIMINAL,Lose
"NTDM,98,審投刑簡,357,20090824,1",CRIMINAL,Lose
"CHDM,96,易,638,20071203,1",CRIMINAL,Lose
"TPDM,102,智易,14,20130709,1",CRIMINAL,Lose
"KSDM,103,智簡,94,20140709,1",CRIMINAL,Lose
"KSDM,109,智簡,65,20201221,1",CRIMINAL,Lose
"KSDM,104,智簡,47,20150727,1",CRIMINAL,Lose
"PCDM,99,智簡,33,20100318,1",CRIMINAL,Lose
"PCDM,95,簡,7610,20070305,1",CRIMINAL,Lose
"CYDM,101,智簡,22,20120628,1",CRIMINAL,Lose
"KSDM,107,智簡,26,20180731,1",CRIMINAL,Lose
"SLDM,113,智簡,3,20240220,1",CRIMINAL,Lose
"TPDM,97,易,1617,20080925,1",CRIMINAL,Lose
"TCDM,112,中智簡,42,20230803,1",CRIMINAL,Lose
"IPCM,107,刑智上易,41,20180830,1",CRIMINAL,Lose
"MLDM,96,苗簡,657,20070817,1",CRIMINAL,Lose
"TPDM,110,智簡,51,20211025,1",CRIMINAL,Lose
"CHDM,93,易,146,20040420,1",CRIMINAL,Lose
"TCDM,105,智易,32,20170215,1",CRIMINAL,Lose
"IPCM,97,刑智上易,74,20081224,1",CRIMINAL,Lose
"TPDM,92,簡,4064,20031118,1",CRIMINAL,Lose
"TPDM,94,簡,2509,20051121,1",CRIMINAL,Lose
"IPCM,107,刑智上易,74,20190307,1",CRIMINAL,Lose
"IPCM,99,刑智上易,5,20100322,1",CRIMINAL,Win
"TCDM,99,智易,68,20110314,2",CRIMINAL,Win
"CHDM,110,智簡,36,20210825,1",CRIMINAL,Lose
"TPDM,110,智簡,55,20220111,1",CRIMINAL,Lose
"KLDM,102,基智簡,2,20130305,1",CRIMINAL,Lose
"SCDM,90,易,149,20010420,1",CRIMINAL,Lose
"CYDM,96,嘉簡,1965,20080530,1",CRIMINAL,Lose
"TCDM,95,訴,2114,20060922,1",CRIMINAL,Lose
"KSDM,107,智簡,13,20180518,1",CRIMINAL,Lose
"CYDM,103,智簡,44,20141229,1",CRIMINAL,Lose
"ILDM,89,易,585,20011106,1",CRIMINAL,Lose
"PCDM,100,智簡,53,20110729,1",CRIMINAL,Lose
"KSDM,97,簡上,552,20081008,1",CRIMINAL,Lose
"SLDM,104,智訴緝,1,20150731,1",CRIMINAL,Lose
"PCDM,96,易,3888,20080205,1",CRIMINAL,Lose
"PCDM,98,訴,1342,20090731,2",CRIMINAL,Lose
"CYDM,103,智訴,9,20140827,1",CRIMINAL,Lose
"KSDM,105,智簡,87,20170330,1",CRIMINAL,Lose
"TCDM,109,中智簡,83,20210531,1",CRIMINAL,Lose
"IPCM,100,刑智上易,70,20110926,1",CRIMINAL,Lose
"TPDM,90,訴,577,20011029,1",CRIMINAL,Lose
"TPDM,97,簡,2876,20080731,1",CRIMINAL,Lose
"PCDM,102,智簡,108,20140106,1",CRIMINAL,Lose
"PCDM,106,智簡,10,20170119,1",CRIMINAL,Lose
"PCDM,93,簡上,308,20050524,1",CRIMINAL,Lose
"PCDM,97,簡上,1027,20090109,1",CRIMINAL,Lose
"CHDM,106,智簡,33,20171229,1",CRIMINAL,Lose
"KSDM,100,智簡,142,20111108,1",CRIMINAL,Lose
"ULDM,95,易,424,20061120,1",CRIMINAL,Lose
"SCDM,102,智簡,49,20131205,1",CRIMINAL,Lose
"TPDM,100,智簡,10,20110406,1",CRIMINAL,Lose
"TPDM,96,簡,2860,20070926,1",CRIMINAL,Lose
"KLDM,99,智易,18,20110603,1",CRIMINAL,Lose
"TNHM,95,重上更(三),29,20060426,1",CRIMINAL,Lose
"KSDM,103,智簡,46,20140318,1",CRIMINAL,Lose
"TYDM,97,壢簡,2959,20081129,1",CRIMINAL,Lose
"TCDM,101,智易,23,20120606,1",CRIMINAL,Lose
"TPHM,90,上易,3641,20020130,2",CRIMINAL,Lose
"TPDM,98,訴,2173,20100205,1",CRIMINAL,Lose
"KSDM,92,易,1747,20030829,1",CRIMINAL,Lose
"SCDM,101,智簡,7,20120427,1",CRIMINAL,Lose
"KSDM,107,智易,13,20200131,2",CRIMINAL,Lose
"TPDM,95,訴,444,20060630,1",CRIMINAL,Lose
"IPCM,100,刑智上更(四),6,20120111,2",CRIMINAL,Win
"CHDM,105,智簡,14,20160524,1",CRIMINAL,Lose
"IPCM,110,刑智上易,16,20210527,1",CRIMINAL,Lose
"IPCM,113,刑智上訴,10,20241017,1",CRIMINAL,Lose
"TYDM,100,審智簡,5,20111020,1",CRIMINAL,Lose
"TPHM,90,上易,2393,20010904,1",CRIMINAL,Lose
"TCDM,88,易,3745,20000307",CRIMINAL,Lose
"CHDM,109,智簡,47,20210205,1",CRIMINAL,Lose
"TPDM,105,智簡,55,20170106,1",CRIMINAL,Lose
"KSDM,102,智簡,182,20131125,1",CRIMINAL,Lose
"TCDM,96,易,5278,20071225,1",CRIMINAL,Lose
"CYDM,101,智簡,24,20120622,1",CRIMINAL,Lose
"PCDM,93,簡上,342,20040924,1",CRIMINAL,Lose
"KSDM,103,智簡,14,20140122,1",CRIMINAL,Lose
"CHDM,90,易,1111,20030113,1",CRIMINAL,Lose
"CHDM,111,智簡,36,20221128,1",CRIMINAL,Lose
"PCDM,96,簡,6973,20071130,1",CRIMINAL,Lose
"NTDM,103,智易,6,20150714,3",CRIMINAL,Lose
"TCDM,113,智易,27,20240726,1",CRIMINAL,Lose
"KSHM,90,上易,517,20010523,1",CRIMINAL,Lose
"IPCM,100,刑智上訴,26,20110728,1",CRIMINAL,Lose
"IPCM,99,刑智上更(一),7,20100719,1",CRIMINAL,Lose
"TNDM,103,智訴,4,20141125,1",CRIMINAL,Lose
"TYDM,107,壢智簡,9,20190626,1",CRIMINAL,Lose
"PCDM,98,簡,8191,20091023,1",CRIMINAL,Lose
"SCDM,89,訴,436,20001013",CRIMINAL,Lose
"IPCM,111,刑智上易,43,20230112,1",CRIMINAL,Lose
"IPCM,112,刑智上易,47,20240926,1",CRIMINAL,Lose
"TPDM,100,智簡,13,20110225,1",CRIMINAL,Lose
"ULDM,107,智簡,2,20190930,1",CRIMINAL,Lose
"PCDM,97,簡,5929,20080709,1",CRIMINAL,Lose
"IPCM,100,刑智上易,130,20120117,1",CRIMINAL,Lose
"CHDM,110,智簡,3,20210225,1",CRIMINAL,Lose
"PCDM,105,智簡,75,20161123,1",CRIMINAL,Lose
"TYDM,100,智訴,3,20111223,1",CRIMINAL,Mixed
"PCDM,106,智簡,36,20170927,1",CRIMINAL,Lose
"TYDM,113,壢智簡,7,20240712,1",CRIMINAL,Lose
"PCDM,111,智易,43,20230418,1",CRIMINAL,Lose
"TNDM,106,智易,20,20180403,2",CRIMINAL,Win
"IPCM,104,刑智上易,25,20150715,1",CRIMINAL,Lose
"TYDM,98,壢簡,3338,20100121,1",CRIMINAL,Lose
"TYDM,96,桃簡,1024,20070625,1",CRIMINAL,Lose
"PHDM,99,智訴,1,20110622,1",CRIMINAL,Lose
"TYDM,104,智簡,5,20151209,1",CRIMINAL,Lose
"PCDM,101,智簡,61,20120709,1",CRIMINAL,Lose
"TPDM,100,智簡,96,20111130,1",CRIMINAL,Lose
"PCDM,103,智易,56,20150119,1",CRIMINAL,Lose
"TYDM,102,桃智簡,38,20140424,1",CRIMINAL,Lose
"TPSM,109,台上,5011,20201231,1",CRIMINAL,Lose
"KSDM,103,智簡,59,20140516,1",CRIMINAL,Lose
"CHDM,105,審智簡,1,20160623,1",CRIMINAL,Lose
"SLDM,95,簡,696,20061229,1",CRIMINAL,Lose
"CYDM,111,智簡,22,20220624,1",CRIMINAL,Lose
"TPDM,109,智簡,59,20200731,1",CRIMINAL,Lose
"TYDM,109,智易,19,20201230,1",CRIMINAL,Win
"KSDM,91,訴,566,20020404,1",CRIMINAL,Lose
"TPDM,107,智簡,31,20180531,1",CRIMINAL,Lose
"KSDM,91,簡,1441,20021203,1",CRIMINAL,Lose
"TCDM,94,易,2121,20060209,1",CRIMINAL,Lose
"TYDM,102,桃智簡,7,20130307,1",CRIMINAL,Lose
"IPCM,109,刑智上易,43,20201029,1",CRIMINAL,Lose
