Date,File,S0,Contract,Maturity,ContractExpiryDate,Rf
2023-02-13,OptionsDaily_2023_02_13.csv,15544.28,202302,2,2023-02-15,0.01465
2023-02-14,OptionsDaily_2023_02_14.csv,15654.48,202302,1,2023-02-15,0.01465
2023-02-15,OptionsDaily_2023_02_15.csv,15432.89,202302,0,2023-02-15,0.01465
2023-02-16,OptionsDaily_2023_02_16.csv,15550.5,202303,27,2023-03-15,0.01465
2023-02-17,OptionsDaily_2023_02_17.csv,15479.7,202303,26,2023-03-15,0.01465
2023-02-20,OptionsDaily_2023_02_20.csv,15551.23,202303,23,2023-03-15,0.01465
2023-02-21,OptionsDaily_2023_02_21.csv,15563,202303,22,2023-03-15,0.01465
2023-02-22,OptionsDaily_2023_02_22.csv,15418.77,202303,21,2023-03-15,0.01465
2023-02-23,OptionsDaily_2023_02_23.csv,15615.41,202303,20,2023-03-15,0.01465
2023-02-24,OptionsDaily_2023_02_24.csv,15503.79,202303,19,2023-03-15,0.01465
2023-03-01,OptionsDaily_2023_03_01.csv,15598.49,202303,14,2023-03-15,0.01465
2023-03-02,OptionsDaily_2023_03_02.csv,15598.72,202303,13,2023-03-15,0.01465
2023-03-03,OptionsDaily_2023_03_03.csv,15608.42,202303,12,2023-03-15,0.01465
2023-03-06,OptionsDaily_2023_03_06.csv,15763.51,202303,9,2023-03-15,0.01465
2023-03-07,OptionsDaily_2023_03_07.csv,15857.89,202303,8,2023-03-15,0.01465
2023-03-08,OptionsDaily_2023_03_08.csv,15818.2,202303,7,2023-03-15,0.01465
2023-03-09,OptionsDaily_2023_03_09.csv,15770.66,202303,6,2023-03-15,0.01465
2023-03-10,OptionsDaily_2023_03_10.csv,15526.2,202303,5,2023-03-15,0.01465
2023-03-13,OptionsDaily_2023_03_13.csv,15560.49,202303,2,2023-03-15,0.01465
2023-03-14,OptionsDaily_2023_03_14.csv,15360.42,202303,1,2023-03-15,0.01465
2023-03-15,OptionsDaily_2023_03_15.csv,15387.59,202303,0,2023-03-15,0.01465
2023-03-16,OptionsDaily_2023_03_16.csv,15221.12,202304,34,2023-04-19,0.01465
2023-03-17,OptionsDaily_2023_03_17.csv,15452.96,202304,33,2023-04-19,0.01465
2023-03-20,OptionsDaily_2023_03_20.csv,15419.97,202304,30,2023-04-19,0.01465
2023-03-21,OptionsDaily_2023_03_21.csv,15513.45,202304,29,2023-04-19,0.01465
2023-03-22,OptionsDaily_2023_03_22.csv,15760.46,202304,28,2023-04-19,0.01465
2023-03-23,OptionsDaily_2023_03_23.csv,15863.95,202304,27,2023-04-19,0.01465
2023-03-24,OptionsDaily_2023_03_24.csv,15914.7,202304,26,2023-04-19,0.01465
2023-03-27,OptionsDaily_2023_03_27.csv,15830.31,202304,23,2023-04-19,0.0159
2023-03-28,OptionsDaily_2023_03_28.csv,15701.48,202304,22,2023-04-19,0.0159
2023-03-29,OptionsDaily_2023_03_29.csv,15769.76,202304,21,2023-04-19,0.0159
2023-03-30,OptionsDaily_2023_03_30.csv,15849.43,202304,20,2023-04-19,0.0159
2023-03-31,OptionsDaily_2023_03_31.csv,15868.06,202304,19,2023-04-19,0.0159
2023-04-06,OptionsDaily_2023_04_06.csv,15810.77,202304,13,2023-04-19,0.0159
2023-04-07,OptionsDaily_2023_04_07.csv,15836.5,202304,12,2023-04-19,0.0159
2023-04-10,OptionsDaily_2023_04_10.csv,15876.17,202304,9,2023-04-19,0.0159
2023-04-11,OptionsDaily_2023_04_11.csv,15913.88,202304,8,2023-04-19,0.0159
2023-04-12,OptionsDaily_2023_04_12.csv,15932.97,202304,7,2023-04-19,0.0159
2023-04-13,OptionsDaily_2023_04_13.csv,15804.76,202304,6,2023-04-19,0.0159
2023-04-14,OptionsDaily_2023_04_14.csv,15929.43,202304,5,2023-04-19,0.0159
2023-04-17,OptionsDaily_2023_04_17.csv,15963.55,202304,2,2023-04-19,0.0159
2023-04-18,OptionsDaily_2023_04_18.csv,15869.44,202304,1,2023-04-19,0.0159
2023-04-19,OptionsDaily_2023_04_19.csv,15770.47,202304,0,2023-04-19,0.0159
2023-04-20,OptionsDaily_2023_04_20.csv,15707.52,202305,27,2023-05-17,0.0159
2023-04-21,OptionsDaily_2023_04_21.csv,15602.99,202305,26,2023-05-17,0.0159
2023-04-24,OptionsDaily_2023_04_24.csv,15626.87,202305,23,2023-05-17,0.0159
2023-04-25,OptionsDaily_2023_04_25.csv,15370.73,202305,22,2023-05-17,0.0159
2023-04-26,OptionsDaily_2023_04_26.csv,15374.63,202305,21,2023-05-17,0.0159
2023-04-27,OptionsDaily_2023_04_27.csv,15411.49,202305,20,2023-05-17,0.0159
2023-04-28,OptionsDaily_2023_04_28.csv,15579.18,202305,19,2023-05-17,0.0159
2023-05-02,OptionsDaily_2023_05_02.csv,15636.48,202305,15,2023-05-17,0.0159
2023-05-03,OptionsDaily_2023_05_03.csv,15553.41,202305,14,2023-05-17,0.0159
2023-05-04,OptionsDaily_2023_05_04.csv,15609.03,202305,13,2023-05-17,0.0159
2023-05-05,OptionsDaily_2023_05_05.csv,15626.07,202305,12,2023-05-17,0.0159
2023-05-08,OptionsDaily_2023_05_08.csv,15699.57,202305,9,2023-05-17,0.0159
2023-05-09,OptionsDaily_2023_05_09.csv,15727.7,202305,8,2023-05-17,0.0159
2023-05-10,OptionsDaily_2023_05_10.csv,15641.76,202305,7,2023-05-17,0.0159
2023-05-11,OptionsDaily_2023_05_11.csv,15514.64,202305,6,2023-05-17,0.0159
2023-05-12,OptionsDaily_2023_05_12.csv,15502.36,202305,5,2023-05-17,0.0159
2023-05-15,OptionsDaily_2023_05_15.csv,15475.05,202305,2,2023-05-17,0.0159
2023-05-16,OptionsDaily_2023_05_16.csv,15673.9,202305,1,2023-05-17,0.0159
2023-05-17,OptionsDaily_2023_05_17.csv,15925.29,202305,0,2023-05-17,0.0159
2023-05-18,OptionsDaily_2023_05_18.csv,16101.88,202306,34,2023-06-21,0.0159
2023-05-19,OptionsDaily_2023_05_19.csv,16174.92,202306,33,2023-06-21,0.0159
2023-05-22,OptionsDaily_2023_05_22.csv,16180.89,202306,30,2023-06-21,0.0159
2023-05-23,OptionsDaily_2023_05_23.csv,16188.03,202306,29,2023-06-21,0.0159
2023-05-24,OptionsDaily_2023_05_24.csv,16159.32,202306,28,2023-06-21,0.0159
2023-05-25,OptionsDaily_2023_05_25.csv,16292,202306,27,2023-06-21,0.0159
2023-05-26,OptionsDaily_2023_05_26.csv,16505.05,202306,26,2023-06-21,0.0159
2023-05-29,OptionsDaily_2023_05_29.csv,16636.3,202306,23,2023-06-21,0.0159
2023-05-30,OptionsDaily_2023_05_30.csv,16622.74,202306,22,2023-06-21,0.0159
2023-05-31,OptionsDaily_2023_05_31.csv,16578.96,202306,21,2023-06-21,0.0159
2023-06-01,OptionsDaily_2023_06_01.csv,16512.65,202306,20,2023-06-21,0.0159
2023-06-02,OptionsDaily_2023_06_02.csv,16706.91,202306,19,2023-06-21,0.0159
2023-06-05,OptionsDaily_2023_06_05.csv,16714.43,202306,16,2023-06-21,0.0159
2023-06-06,OptionsDaily_2023_06_06.csv,16761.66,202306,15,2023-06-21,0.0159
2023-06-07,OptionsDaily_2023_06_07.csv,16922.48,202306,14,2023-06-21,0.0159
2023-06-08,OptionsDaily_2023_06_08.csv,16733.69,202306,13,2023-06-21,0.0159
2023-06-09,OptionsDaily_2023_06_09.csv,16886.4,202306,12,2023-06-21,0.0159
2023-06-12,OptionsDaily_2023_06_12.csv,16955.37,202306,9,2023-06-21,0.0159
2023-06-13,OptionsDaily_2023_06_13.csv,17216.6,202306,8,2023-06-21,0.0159
2023-06-14,OptionsDaily_2023_06_14.csv,17238.14,202306,7,2023-06-21,0.0159
2023-06-15,OptionsDaily_2023_06_15.csv,17334.98,202306,6,2023-06-21,0.0159
2023-06-16,OptionsDaily_2023_06_16.csv,17288.91,202306,5,2023-06-21,0.0159
2023-06-19,OptionsDaily_2023_06_19.csv,17274.56,202306,2,2023-06-21,0.0159
2023-06-20,OptionsDaily_2023_06_20.csv,17184.91,202306,1,2023-06-21,0.0159
2023-06-21,OptionsDaily_2023_06_21.csv,17202.4,202306,0,2023-06-21,0.0159
2023-06-26,OptionsDaily_2023_06_26.csv,17059.24,202307,23,2023-07-19,0.0159
2023-06-27,OptionsDaily_2023_06_27.csv,16887.9,202307,22,2023-07-19,0.0159
2023-06-28,OptionsDaily_2023_06_28.csv,16935.63,202307,21,2023-07-19,0.0159
2023-06-29,OptionsDaily_2023_06_29.csv,16942.3,202307,20,2023-07-19,0.0159
2023-06-30,OptionsDaily_2023_06_30.csv,16915.54,202307,19,2023-07-19,0.0159
2023-07-03,OptionsDaily_2023_07_03.csv,17084.2,202307,16,2023-07-19,0.0159
2023-07-04,OptionsDaily_2023_07_04.csv,17140.77,202307,15,2023-07-19,0.0159
2023-07-05,OptionsDaily_2023_07_05.csv,17056.43,202307,14,2023-07-19,0.0159
2023-07-06,OptionsDaily_2023_07_06.csv,16762.17,202307,13,2023-07-19,0.0159
2023-07-07,OptionsDaily_2023_07_07.csv,16664.21,202307,12,2023-07-19,0.0159
2023-07-10,OptionsDaily_2023_07_10.csv,16652.8,202307,9,2023-07-19,0.0159
2023-07-11,OptionsDaily_2023_07_11.csv,16898.91,202307,8,2023-07-19,0.0159
2023-07-12,OptionsDaily_2023_07_12.csv,16962.03,202307,7,2023-07-19,0.0159
2023-07-13,OptionsDaily_2023_07_13.csv,17061.4,202307,6,2023-07-19,0.0159
2023-07-14,OptionsDaily_2023_07_14.csv,17283.71,202307,5,2023-07-19,0.0159
2023-07-17,OptionsDaily_2023_07_17.csv,17334.29,202307,2,2023-07-19,0.0159
2023-07-18,OptionsDaily_2023_07_18.csv,17227.91,202307,1,2023-07-19,0.0159
2023-07-19,OptionsDaily_2023_07_19.csv,17116.44,202307,0,2023-07-19,0.0159
2023-07-20,OptionsDaily_2023_07_20.csv,17164.89,202308,27,2023-08-16,0.0159
2023-07-21,OptionsDaily_2023_07_21.csv,17030.7,202308,26,2023-08-16,0.0159
2023-07-24,OptionsDaily_2023_07_24.csv,17033.61,202308,23,2023-08-16,0.0159
2023-07-25,OptionsDaily_2023_07_25.csv,17198.89,202308,22,2023-08-16,0.0159
2023-07-26,OptionsDaily_2023_07_26.csv,17162.55,202308,21,2023-08-16,0.0159
2023-07-27,OptionsDaily_2023_07_27.csv,17241.82,202308,20,2023-08-16,0.0159
2023-07-28,OptionsDaily_2023_07_28.csv,17292.93,202308,19,2023-08-16,0.0159
2023-07-31,OptionsDaily_2023_07_31.csv,17145.43,202308,16,2023-08-16,0.0159
2023-08-01,OptionsDaily_2023_08_01.csv,17212.87,202308,15,2023-08-16,0.0159
2023-08-02,OptionsDaily_2023_08_02.csv,16893.73,202308,14,2023-08-16,0.0159
2023-08-04,OptionsDaily_2023_08_04.csv,16843.68,202308,12,2023-08-16,0.0159
2023-08-07,OptionsDaily_2023_08_07.csv,16996,202308,9,2023-08-16,0.0159
2023-08-08,OptionsDaily_2023_08_08.csv,16877.07,202308,8,2023-08-16,0.0159
2023-08-09,OptionsDaily_2023_08_09.csv,16870.94,202308,7,2023-08-16,0.0159
2023-08-10,OptionsDaily_2023_08_10.csv,16634.7,202308,6,2023-08-16,0.0159
2023-08-11,OptionsDaily_2023_08_11.csv,16601.25,202308,5,2023-08-16,0.0159
2023-08-14,OptionsDaily_2023_08_14.csv,16393.66,202308,2,2023-08-16,0.0159
2023-08-15,OptionsDaily_2023_08_15.csv,16454.8,202308,1,2023-08-16,0.0159
2023-08-16,OptionsDaily_2023_08_16.csv,16446.78,202308,0,2023-08-16,0.0159
2023-08-17,OptionsDaily_2023_08_17.csv,16516.66,202309,34,2023-09-20,0.0159
2023-08-18,OptionsDaily_2023_08_18.csv,16381.31,202309,33,2023-09-20,0.0159
2023-08-21,OptionsDaily_2023_08_21.csv,16381.49,202309,30,2023-09-20,0.0159
2023-08-22,OptionsDaily_2023_08_22.csv,16437.61,202309,29,2023-09-20,0.0159
2023-08-23,OptionsDaily_2023_08_23.csv,16576.9,202309,28,2023-09-20,0.0159
2023-08-24,OptionsDaily_2023_08_24.csv,16770.87,202309,27,2023-09-20,0.0159
2023-08-25,OptionsDaily_2023_08_25.csv,16481.58,202309,26,2023-09-20,0.0159
2023-08-28,OptionsDaily_2023_08_28.csv,16509.26,202309,23,2023-09-20,0.0159
2023-08-29,OptionsDaily_2023_08_29.csv,16623.65,202309,22,2023-09-20,0.0159
2023-08-30,OptionsDaily_2023_08_30.csv,16719.82,202309,21,2023-09-20,0.0159
2023-08-31,OptionsDaily_2023_08_31.csv,16634.51,202309,20,2023-09-20,0.0159
2023-09-01,OptionsDaily_2023_09_01.csv,16644.94,202309,19,2023-09-20,0.0159
2023-09-04,OptionsDaily_2023_09_04.csv,16789.69,202309,16,2023-09-20,0.0159
2023-09-05,OptionsDaily_2023_09_05.csv,16791.61,202309,15,2023-09-20,0.0159
2023-09-06,OptionsDaily_2023_09_06.csv,16738.16,202309,14,2023-09-20,0.0159
2023-09-07,OptionsDaily_2023_09_07.csv,16619.14,202309,13,2023-09-20,0.0159
2023-09-08,OptionsDaily_2023_09_08.csv,16576.02,202309,12,2023-09-20,0.0159
2023-09-11,OptionsDaily_2023_09_11.csv,16432.95,202309,9,2023-09-20,0.0159
2023-09-12,OptionsDaily_2023_09_12.csv,16572.71,202309,8,2023-09-20,0.0159
2023-09-13,OptionsDaily_2023_09_13.csv,16581.51,202309,7,2023-09-20,0.0159
2023-09-14,OptionsDaily_2023_09_14.csv,16807.56,202309,6,2023-09-20,0.0159
2023-09-15,OptionsDaily_2023_09_15.csv,16920.92,202309,5,2023-09-20,0.0159
2023-09-18,OptionsDaily_2023_09_18.csv,16698.24,202309,2,2023-09-20,0.0159
2023-09-19,OptionsDaily_2023_09_19.csv,16636.32,202309,1,2023-09-20,0.0159
2023-09-20,OptionsDaily_2023_09_20.csv,16534.75,202309,0,2023-09-20,0.0159
2023-09-21,OptionsDaily_2023_09_21.csv,16316.67,202310,27,2023-10-18,0.0159
2023-09-22,OptionsDaily_2023_09_22.csv,16344.48,202310,26,2023-10-18,0.0159
2023-09-25,OptionsDaily_2023_09_25.csv,16452.23,202310,23,2023-10-18,0.0159
2023-09-26,OptionsDaily_2023_09_26.csv,16276.07,202310,22,2023-10-18,0.0159
2023-09-27,OptionsDaily_2023_09_27.csv,16310.36,202310,21,2023-10-18,0.0159
2023-09-28,OptionsDaily_2023_09_28.csv,16353.74,202310,20,2023-10-18,0.0159
2023-10-02,OptionsDaily_2023_10_02.csv,16557.31,202310,16,2023-10-18,0.0159
2023-10-03,OptionsDaily_2023_10_03.csv,16454.34,202310,15,2023-10-18,0.0159
2023-10-04,OptionsDaily_2023_10_04.csv,16273.38,202310,14,2023-10-18,0.0159
2023-10-05,OptionsDaily_2023_10_05.csv,16453.52,202310,13,2023-10-18,0.0159
2023-10-06,OptionsDaily_2023_10_06.csv,16520.57,202310,12,2023-10-18,0.0159
2023-10-11,OptionsDaily_2023_10_11.csv,16672.03,202310,7,2023-10-18,0.0159
2023-10-12,OptionsDaily_2023_10_12.csv,16825.91,202310,6,2023-10-18,0.0159
2023-10-13,OptionsDaily_2023_10_13.csv,16782.57,202310,5,2023-10-18,0.0159
2023-10-16,OptionsDaily_2023_10_16.csv,16652.24,202310,2,2023-10-18,0.0159
2023-10-17,OptionsDaily_2023_10_17.csv,16642.55,202310,1,2023-10-18,0.0159
2023-10-18,OptionsDaily_2023_10_18.csv,16440.91,202310,0,2023-10-18,0.0159
2023-10-19,OptionsDaily_2023_10_19.csv,16452.73,202311,27,2023-11-15,0.0159
2023-10-20,OptionsDaily_2023_10_20.csv,16440.72,202311,26,2023-11-15,0.0159
2023-10-23,OptionsDaily_2023_10_23.csv,16251.36,202311,23,2023-11-15,0.0159
2023-10-24,OptionsDaily_2023_10_24.csv,16309.76,202311,22,2023-11-15,0.0159
2023-10-25,OptionsDaily_2023_10_25.csv,16358.89,202311,21,2023-11-15,0.0159
2023-10-26,OptionsDaily_2023_10_26.csv,16073.74,202311,20,2023-11-15,0.0159
2023-10-27,OptionsDaily_2023_10_27.csv,16134.61,202311,19,2023-11-15,0.0159
2023-10-30,OptionsDaily_2023_10_30.csv,16149.68,202311,16,2023-11-15,0.0159
2023-10-31,OptionsDaily_2023_10_31.csv,16001.27,202311,15,2023-11-15,0.0159
2023-11-01,OptionsDaily_2023_11_01.csv,16038.56,202311,14,2023-11-15,0.0159
2023-11-02,OptionsDaily_2023_11_02.csv,16396.95,202311,13,2023-11-15,0.0159
2023-11-03,OptionsDaily_2023_11_03.csv,16507.65,202311,12,2023-11-15,0.0159
2023-11-06,OptionsDaily_2023_11_06.csv,16649.36,202311,9,2023-11-15,0.0159
2023-11-07,OptionsDaily_2023_11_07.csv,16684.95,202311,8,2023-11-15,0.0159
2023-11-08,OptionsDaily_2023_11_08.csv,16740.83,202311,7,2023-11-15,0.0159
2023-11-09,OptionsDaily_2023_11_09.csv,16745.65,202311,6,2023-11-15,0.0159
2023-11-10,OptionsDaily_2023_11_10.csv,16682.67,202311,5,2023-11-15,0.0159
2023-11-13,OptionsDaily_2023_11_13.csv,16839.29,202311,2,2023-11-15,0.0159
2023-11-14,OptionsDaily_2023_11_14.csv,16915.71,202311,1,2023-11-15,0.0159
2023-11-15,OptionsDaily_2023_11_15.csv,17128.78,202311,0,2023-11-15,0.0159
2023-11-16,OptionsDaily_2023_11_16.csv,17171.18,202312,34,2023-12-20,0.0159
2023-11-17,OptionsDaily_2023_11_17.csv,17208.95,202312,33,2023-12-20,0.0159
2023-11-20,OptionsDaily_2023_11_20.csv,17210.47,202312,30,2023-12-20,0.0159
2023-11-21,OptionsDaily_2023_11_21.csv,17416.7,202312,29,2023-12-20,0.0159
2023-11-22,OptionsDaily_2023_11_22.csv,17310.26,202312,28,2023-12-20,0.0159
2023-11-23,OptionsDaily_2023_11_23.csv,17294.55,202312,27,2023-12-20,0.0159
2023-11-24,OptionsDaily_2023_11_24.csv,17287.42,202312,26,2023-12-20,0.0159
2023-11-27,OptionsDaily_2023_11_27.csv,17137.42,202312,23,2023-12-20,0.0159
2023-11-28,OptionsDaily_2023_11_28.csv,17341.25,202312,22,2023-12-20,0.0159
2023-11-29,OptionsDaily_2023_11_29.csv,17370.56,202312,21,2023-12-20,0.0159
2023-11-30,OptionsDaily_2023_11_30.csv,17433.85,202312,20,2023-12-20,0.0159
2023-12-01,OptionsDaily_2023_12_01.csv,17438.35,202312,19,2023-12-20,0.0159
2023-12-04,OptionsDaily_2023_12_04.csv,17421.48,202312,16,2023-12-20,0.0159
2023-12-05,OptionsDaily_2023_12_05.csv,17328.01,202312,15,2023-12-20,0.0159
2023-12-06,OptionsDaily_2023_12_06.csv,17360.72,202312,14,2023-12-20,0.0159
2023-12-07,OptionsDaily_2023_12_07.csv,17278.74,202312,13,2023-12-20,0.0159
2023-12-08,OptionsDaily_2023_12_08.csv,17383.99,202312,12,2023-12-20,0.0159
2023-12-11,OptionsDaily_2023_12_11.csv,17418.34,202312,9,2023-12-20,0.0159
2023-12-12,OptionsDaily_2023_12_12.csv,17450.63,202312,8,2023-12-20,0.0159
2023-12-13,OptionsDaily_2023_12_13.csv,17468.93,202312,7,2023-12-20,0.0159
2023-12-14,OptionsDaily_2023_12_14.csv,17653.11,202312,6,2023-12-20,0.0159
2023-12-15,OptionsDaily_2023_12_15.csv,17673.87,202312,5,2023-12-20,0.0159
2023-12-18,OptionsDaily_2023_12_18.csv,17652.03,202312,2,2023-12-20,0.0159
2023-12-19,OptionsDaily_2023_12_19.csv,17576.55,202312,1,2023-12-20,0.0159
2023-12-20,OptionsDaily_2023_12_20.csv,17635.2,202312,0,2023-12-20,0.0159
2023-12-21,OptionsDaily_2023_12_21.csv,17543.74,202401,27,2024-01-17,0.0159
2023-12-22,OptionsDaily_2023_12_22.csv,17596.63,202401,26,2024-01-17,0.0159
2023-12-25,OptionsDaily_2023_12_25.csv,17604.84,202401,23,2024-01-17,0.0159
2023-12-26,OptionsDaily_2023_12_26.csv,17751.73,202401,22,2024-01-17,0.0159
2023-12-27,OptionsDaily_2023_12_27.csv,17891.5,202401,21,2024-01-17,0.0159
2023-12-28,OptionsDaily_2023_12_28.csv,17910.37,202401,20,2024-01-17,0.0159
2023-12-29,OptionsDaily_2023_12_29.csv,17930.81,202401,19,2024-01-17,0.0159
