"settledate","contract","settleprice"
"2024/09/25","202409W4","22749"
"2024/09/18","202409","21619"
"2024/09/11","202409W2","21098"
"2024/09/04","202409W1","21119"
"2024/08/28","202408W4","22336"
"2024/08/21","202408","22200"
"2024/08/14","202408W2","22019"
"2024/08/07","202408W1","21239"
"2024/07/31","202407W5","22239"
"2024/07/26","202407W4","22069"
"2024/07/17","202407","23680"
"2024/07/10","202407W2","23996"
"2024/07/03","202407W1","23138"
"2024/06/26","202406W4","22965"
"2024/06/19","202406","23226"
"2024/06/12","202406W2","22067"
"2024/06/05","202406W1","21491"
"2024/05/29","202405W5","21730"
"2024/05/22","202405W4","21553"
"2024/05/15","202405","21143"
"2024/05/08","202405W2","20667"
"2024/05/02","202405W1","20251"
"2024/04/24","202404W4","20149"
"2024/04/17","202404","20238"
"2024/04/10","202404W2","20810"
"2024/04/03","202404W1","20368"
"2024/03/27","202403W4","20227"
"2024/03/20","202403","19748"
"2024/03/13","202403W2","19931"
"2024/03/06","202403W1","19510"
"2024/02/29","202402W4","18993"
"2024/02/21","202402","18671"
"2024/02/15","202402W1","18632"
"2024/01/31","202401W5","17896"
"2024/01/24","202401W4","17873"
"2024/01/17","202401","17168"
"2024/01/10","202401W2","17481"
"2024/01/03","202401W1","17556"
"2023/12/27","202312W4","17883"
"2023/12/20","202312","17636"
"2023/12/13","202312W2","17449"
"2023/12/06","202312W1","17373"
"2023/11/29","202311W5","17368"
"2023/11/22","202311W4","17289"
"2023/11/15","202311","17123"
"2023/11/08","202311W2","16734"
"2023/11/01","202311W1","16060"
"2023/10/25","202310W4","16389"
"2023/10/18","202310","16426"
"2023/10/11","202310W2","16674"
"2023/10/04","202310W1","16280"
"2023/09/27","202309W4","16275"
"2023/09/20","202309","16537"
"2023/09/13","202309W2","16592"
"2023/09/06","202309W1","16743"
"2023/08/30","202308W5","16724"
"2023/08/23","202308W4","16557"
"2023/08/16","202308","16364"
"2023/08/09","202308W2","16870"
"2023/08/02","202308W1","16855"
"2023/07/26","202307W4","17154"
"2023/07/19","202307","17103"
"2023/07/12","202307W2","16914"
"2023/07/05","202307W1","17026"
"2023/06/28","202306W4","16930"
"2023/06/21","202306","17230"
"2023/06/14","202306W2","17244"
"2023/06/07","202306W1","16907"
"2023/05/31","202305W5","16602"
"2023/05/24","202305W4","16149"
"2023/05/17","202305","15953"
"2023/05/10","202305W2","15611"
"2023/05/03","202305W1","15567"
"2023/04/26","202304W4","15379"
"2023/04/19","202304","15775"
"2023/04/12","202304W2","15932"
"2023/04/06","202304W1","15795"
"2023/03/29","202303W5","15749"
"2023/03/22","202303W4","15744"
"2023/03/15","202303","15405"
"2023/03/08","202303W2","15811"
"2023/03/01","202303W1","15593"
"2023/02/22","202302W4","15433"
"2023/02/15","202302","15398"
"2023/02/08","202302W2","15615"
"2023/02/01","202302W1","15359"
"2023/01/30","202301","15450"
"2023/01/11","202301W2","14753"
"2023/01/04","202301W1","14223"
"2022/12/28","202212W4","14130"
"2022/12/21","202212","14219"
"2022/12/14","202212W2","14725"
"2022/12/07","202212W1","14669"
"2022/11/30","202211W5","14831"
"2022/11/23","202211W4","14621"
"2022/11/16","202211","14499"
"2022/11/09","202211W2","13615"
"2022/11/02","202211W1","13087"
"2022/10/26","202210W4","12741"
"2022/10/19","202210","12999"
"2022/10/12","202210W2","13090"
"2022/10/05","202210W1","13823"
"2022/09/28","202209W4","13502"
"2022/09/21","202209","14402"
"2022/09/14","202209W2","14667"
"2022/09/07","202209W1","14416"
"2022/08/31","202208W5","15078"
"2022/08/24","202208W4","15097"
"2022/08/17","202208","15452"
"2022/08/10","202208W2","14945"
"2022/08/03","202208W1","14707"
"2022/07/27","202207W4","14887"
"2022/07/20","202207","14713"
"2022/07/13","202207W2","14384"
"2022/07/06","202207W1","14015"
"2022/06/29","202206W5","15261"
"2022/06/22","202206W4","15388"
"2022/06/15","202206","16061"
"2022/06/08","202206W2","16659"
"2022/06/01","202206W1","16717"
"2022/05/25","202205W4","16155"
"2022/05/18","202205","16302"
"2022/05/11","202205W2","16028"
"2022/05/04","202205W1","16541"
"2022/04/27","202204W4","16304"
"2022/04/20","202204","17125"
"2022/04/13","202204W2","17311"
"2022/04/06","202204W1","17513"
"2022/03/30","202203W5","17759"
"2022/03/23","202203W4","17706"
"2022/03/16","202203","16937"
"2022/03/09","202203W2","17026"
"2022/03/02","202203W1","17897"
"2022/02/23","202202W4","18077"
"2022/02/16","202202","18206"
"2022/02/09","202202W2","18146"
"2022/02/07","202202W1","17882"
"2022/01/26","202201W4","17712"
"2022/01/19","202201","18217"
"2022/01/12","202201W2","18317"
"2022/01/05","202201W1","18466"
"2021/12/29","202112W5","18271"
"2021/12/22","202112W4","17816"
"2021/12/15","202112","17629"
"2021/12/08","202112W2","17881"
"2021/12/01","202112W1","17615"
"2021/11/24","202111W4","17650"
"2021/11/17","202111","17723"
"2021/11/10","202111W2","17554"
"2021/11/03","202111W1","17113"
"2021/10/27","202110W4","17059"
"2021/10/20","202110","16882"
"2021/10/13","202110W2","16370"
"2021/10/06","202110W1","16364"
"2021/09/29","202109W5","16823"
"2021/09/22","202109W4","16916"
"2021/09/15","202109","17382"
"2021/09/08","202109W2","17192"
"2021/09/01","202109W1","17484"
"2021/08/25","202108W4","17010"
"2021/08/18","202108","16785"
"2021/08/11","202108W2","17170"
"2021/08/04","202108W1","17601"
"2021/07/28","202107W4","17074"
"2021/07/21","202107","17431"
"2021/07/14","202107W2","17796"
"2021/07/07","202107W1","17799"
"2021/06/30","202106W5","17776"
"2021/06/23","202106W4","17347"
"2021/06/16","202106","17346"
"2021/06/09","202106W2","16947"
"2021/06/02","202106W1","17178"
"2021/05/26","202105W4","16636"
"2021/05/19","202105","16137"
"2021/05/12","202105W2","15901"
"2021/05/05","202105W1","16892"
"2021/04/28","202104W4","17544"
"2021/04/21","202104","17232"
"2021/04/14","202104W2","16816"
"2021/04/07","202104W1","16793"
"2021/03/31","202103W5","16444"
"2021/03/24","202103W4","16029"
"2021/03/17","202103","16177"
"2021/03/10","202103W2","15877"
"2021/03/03","202103W1","16183"
"2021/02/24","202102W4","16235"
"2021/02/17","202102","16326"
"2021/02/03","202102W1","15767"
"2021/01/27","202101W4","15749"
"2021/01/20","202101","15766"
"2021/01/13","202101W2","15760"
"2021/01/06","202101W1","14934"
"2020/12/30","202012W5","14652"
"2020/12/23","202012W4","14234"
"2020/12/16","202012","14323"
"2020/12/09","202012W2","14398"
"2020/12/02","202012W1","13981"
"2020/11/25","202011W4","13753"
"2020/11/18","202011","13756"
"2020/11/11","202011W2","13249"
"2020/11/04","202011W1","12865"
"2020/10/28","202010W4","12771"
"2020/10/21","202010","12860"
"2020/10/14","202010W2","12900"
"2020/10/07","202010W1","12759"
"2020/09/30","202009W5","12529"
"2020/09/23","202009W4","12577"
"2020/09/16","202009","12969"
"2020/09/09","202009W2","12592"
"2020/09/02","202009W1","12668"
"2020/08/26","202008W4","12799"
"2020/08/19","202008","12807"
"2020/08/12","202008W2","12659"
"2020/08/05","202008W1","12793"
"2020/07/29","202007W5","12530"
"2020/07/22","202007W4","12451"
"2020/07/15","202007","12220"
"2020/07/08","202007W2","12180"
"2020/07/01","202007W1","11702"
"2020/06/24","202006W4","11652"
"2020/06/17","202006","11520"
"2020/06/10","202006W2","11714"
"2020/06/03","202006W1","11321"
"2020/05/27","202005W4","11010"
"2020/05/20","202005","10887"
"2020/05/13","202005W2","10924"
"2020/05/06","202005W1","10757"
"2020/04/29","202004W5","10764"
"2020/04/22","202004W4","10285"
"2020/04/15","202004","10451"
"2020/04/08","202004W2","10131"
"2020/04/01","202004W1","9684"
"2020/03/25","202003W4","9625"
"2020/03/18","202003","9264"
"2020/03/11","202003W2","10907"
"2020/03/04","202003W1","11379"
"2020/02/26","202002W4","11433"
"2020/02/19","202002","11760"
"2020/02/12","202002W2","11793"
"2020/02/05","202002W1","11560"
"2020/01/30","202001W4","11436"
"2020/01/15","202001","12063"
"2020/01/08","202001W2","11840"
"2020/01/02","202001W1","12102"
