Date,File,S0,Contract,ContractExpiry Date,Maturity,Rf
2022/5/16,OptionsDaily_2022_05_16.csv,15901.04004,202205,2022/5/18,2,0.0107
2022/5/17,OptionsDaily_2022_05_17.csv,16056.08984,202205,2022/5/18,1,0.0107
2022/5/18,OptionsDaily_2022_05_18.csv,16296.86035,202205,2022/5/18,0,0.0107
2022/5/19,OptionsDaily_2022_05_19.csv,16020.32031,202206,2022/6/15,27,0.0107
2022/5/20,OptionsDaily_2022_05_20.csv,16144.84961,202206,2022/6/15,26,0.0107
2022/5/23,OptionsDaily_2022_05_23.csv,16156.41016,202206,2022/6/15,23,0.0107
2022/5/24,OptionsDaily_2022_05_24.csv,15963.62988,202206,2022/6/15,22,0.0107
2022/5/25,OptionsDaily_2022_05_25.csv,16104.03027,202206,2022/6/15,21,0.0107
2022/5/26,OptionsDaily_2022_05_26.csv,15968.83008,202206,2022/6/15,20,0.0107
2022/5/27,OptionsDaily_2022_05_27.csv,16266.21973,202206,2022/6/15,19,0.0107
2022/5/30,OptionsDaily_2022_05_30.csv,16610.61914,202206,2022/6/15,16,0.0107
2022/5/31,OptionsDaily_2022_05_31.csv,16807.76953,202206,2022/6/15,15,0.0107
2022/6/1,OptionsDaily_2022_06_01.csv,16675.08984,202206,2022/6/15,14,0.0107
2022/6/2,OptionsDaily_2022_06_02.csv,16552.57031,202206,2022/6/15,13,0.0107
2022/6/6,OptionsDaily_2022_06_06.csv,16605.96094,202206,2022/6/15,9,0.0107
2022/6/7,OptionsDaily_2022_06_07.csv,16512.88086,202206,2022/6/15,8,0.0107
2022/6/8,OptionsDaily_2022_06_08.csv,16670.50977,202206,2022/6/15,7,0.0107
2022/6/9,OptionsDaily_2022_06_09.csv,16621.33984,202206,2022/6/15,6,0.0107
2022/6/10,OptionsDaily_2022_06_10.csv,16460.11914,202206,2022/6/15,5,0.0107
2022/6/13,OptionsDaily_2022_06_13.csv,16070.98047,202206,2022/6/15,2,0.0107
2022/6/14,OptionsDaily_2022_06_14.csv,16047.37012,202206,2022/6/15,1,0.0107
2022/6/15,OptionsDaily_2022_06_15.csv,15999.25,202206,2022/6/15,0,0.0107
2022/6/16,OptionsDaily_2022_06_16.csv,15838.61035,202207,2022/7/20,34,0.0107
2022/6/17,OptionsDaily_2022_06_17.csv,15641.25977,202207,2022/7/20,33,0.0107
2022/6/20,OptionsDaily_2022_06_20.csv,15367.58008,202207,2022/7/20,30,0.0122
2022/6/21,OptionsDaily_2022_06_21.csv,15728.63965,202207,2022/7/20,29,0.0122
2022/6/22,OptionsDaily_2022_06_22.csv,15347.75,202207,2022/7/20,28,0.0122
2022/6/23,OptionsDaily_2022_06_23.csv,15176.44043,202207,2022/7/20,27,0.0122
2022/6/24,OptionsDaily_2022_06_24.csv,15303.32031,202207,2022/7/20,26,0.0122
2022/6/27,OptionsDaily_2022_06_27.csv,15548.00977,202207,2022/7/20,23,0.0122
2022/6/28,OptionsDaily_2022_06_28.csv,15439.91992,202207,2022/7/20,22,0.0122
2022/6/29,OptionsDaily_2022_06_29.csv,15240.12988,202207,2022/7/20,21,0.0122
2022/6/30,OptionsDaily_2022_06_30.csv,14825.73047,202207,2022/7/20,20,0.0122
2022/7/1,OptionsDaily_2022_07_01.csv,14343.08008,202207,2022/7/20,19,0.0122
2022/7/4,OptionsDaily_2022_07_04.csv,14217.05957,202207,2022/7/20,16,0.0122
2022/7/5,OptionsDaily_2022_07_05.csv,14349.2002,202207,2022/7/20,15,0.0122
2022/7/6,OptionsDaily_2022_07_06.csv,13985.50977,202207,2022/7/20,14,0.0122
2022/7/7,OptionsDaily_2022_07_07.csv,14336.26953,202207,2022/7/20,13,0.0122
2022/7/8,OptionsDaily_2022_07_08.csv,14464.53027,202207,2022/7/20,12,0.0122
2022/7/11,OptionsDaily_2022_07_11.csv,14340.53027,202207,2022/7/20,9,0.0122
2022/7/12,OptionsDaily_2022_07_12.csv,13950.62012,202207,2022/7/20,8,0.0122
2022/7/13,OptionsDaily_2022_07_13.csv,14324.67969,202207,2022/7/20,7,0.0122
2022/7/14,OptionsDaily_2022_07_14.csv,14438.51953,202207,2022/7/20,6,0.0122
2022/7/15,OptionsDaily_2022_07_15.csv,14550.62012,202207,2022/7/20,5,0.0122
2022/7/18,OptionsDaily_2022_07_18.csv,14719.63965,202207,2022/7/20,2,0.0122
2022/7/19,OptionsDaily_2022_07_19.csv,14694.08008,202207,2022/7/20,1,0.0122
2022/7/20,OptionsDaily_2022_07_20.csv,14733.21973,202207,2022/7/20,0,0.0122
2022/7/21,OptionsDaily_2022_07_21.csv,14937.7002,202208,2022/8/17,27,0.0122
2022/7/22,OptionsDaily_2022_07_22.csv,14949.36035,202208,2022/8/17,26,0.0122
2022/7/25,OptionsDaily_2022_07_25.csv,14936.33008,202208,2022/8/17,23,0.0122
2022/7/26,OptionsDaily_2022_07_26.csv,14806.78027,202208,2022/8/17,22,0.0122
2022/7/27,OptionsDaily_2022_07_27.csv,14921.58984,202208,2022/8/17,21,0.0122
2022/7/28,OptionsDaily_2022_07_28.csv,14891.90039,202208,2022/8/17,20,0.0122
2022/7/29,OptionsDaily_2022_07_29.csv,15000.07031,202208,2022/8/17,19,0.0122
2022/8/1,OptionsDaily_2022_08_01.csv,14981.69043,202208,2022/8/17,16,0.0122
2022/8/2,OptionsDaily_2022_08_02.csv,14747.23047,202208,2022/8/17,15,0.0122
2022/8/3,OptionsDaily_2022_08_03.csv,14777.01953,202208,2022/8/17,14,0.0122
2022/8/4,OptionsDaily_2022_08_04.csv,14702.2002,202208,2022/8/17,13,0.0122
2022/8/5,OptionsDaily_2022_08_05.csv,15036.04004,202208,2022/8/17,12,0.0122
2022/8/8,OptionsDaily_2022_08_08.csv,15020.41016,202208,2022/8/17,9,0.0122
2022/8/9,OptionsDaily_2022_08_09.csv,15050.28027,202208,2022/8/17,8,0.0122
2022/8/10,OptionsDaily_2022_08_10.csv,14939.01953,202208,2022/8/17,7,0.0122
2022/8/11,OptionsDaily_2022_08_11.csv,15197.84961,202208,2022/8/17,6,0.0122
2022/8/12,OptionsDaily_2022_08_12.csv,15288.96973,202208,2022/8/17,5,0.0122
2022/8/15,OptionsDaily_2022_08_15.csv,15417.34961,202208,2022/8/17,2,0.0122
2022/8/16,OptionsDaily_2022_08_16.csv,15420.57031,202208,2022/8/17,1,0.0122
2022/8/17,OptionsDaily_2022_08_17.csv,15465.4502,202208,2022/8/17,0,0.0122
2022/8/18,OptionsDaily_2022_08_18.csv,15396.75977,202209,2022/9/21,34,0.0122
2022/8/19,OptionsDaily_2022_08_19.csv,15408.78027,202209,2022/9/21,33,0.0122
2022/8/22,OptionsDaily_2022_08_22.csv,15245.13965,202209,2022/9/21,30,0.0122
2022/8/23,OptionsDaily_2022_08_23.csv,15095.88965,202209,2022/9/21,29,0.0122
2022/8/24,OptionsDaily_2022_08_24.csv,15069.19043,202209,2022/9/21,28,0.0122
2022/8/25,OptionsDaily_2022_08_25.csv,15200.04004,202209,2022/9/21,27,0.0122
2022/8/26,OptionsDaily_2022_08_26.csv,15278.44043,202209,2022/9/21,26,0.0122
2022/8/29,OptionsDaily_2022_08_29.csv,14926.19043,202209,2022/9/21,23,0.0122
2022/8/30,OptionsDaily_2022_08_30.csv,14953.62988,202209,2022/9/21,22,0.0122
2022/8/31,OptionsDaily_2022_08_31.csv,15095.44043,202209,2022/9/21,21,0.0122
2022/9/1,OptionsDaily_2022_09_01.csv,14801.86035,202209,2022/9/21,20,0.0122
2022/9/2,OptionsDaily_2022_09_02.csv,14673.04004,202209,2022/9/21,19,0.0122
2022/9/5,OptionsDaily_2022_09_05.csv,14661.09961,202209,2022/9/21,16,0.0122
2022/9/6,OptionsDaily_2022_09_06.csv,14677.2002,202209,2022/9/21,15,0.0122
2022/9/7,OptionsDaily_2022_09_07.csv,14410.0498,202209,2022/9/21,14,0.0122
2022/9/8,OptionsDaily_2022_09_08.csv,14583.41992,202209,2022/9/21,13,0.0122
2022/9/12,OptionsDaily_2022_09_12.csv,14807.42969,202209,2022/9/21,9,0.0122
2022/9/13,OptionsDaily_2022_09_13.csv,14894.41016,202209,2022/9/21,8,0.0122
2022/9/14,OptionsDaily_2022_09_14.csv,14658.30957,202209,2022/9/21,7,0.0122
2022/9/15,OptionsDaily_2022_09_15.csv,14670.04004,202209,2022/9/21,6,0.0122
2022/9/16,OptionsDaily_2022_09_16.csv,14561.75977,202209,2022/9/21,5,0.0122
2022/9/19,OptionsDaily_2022_09_19.csv,14425.67969,202209,2022/9/21,2,0.0122
2022/9/20,OptionsDaily_2022_09_20.csv,14549.2998,202209,2022/9/21,1,0.0122
2022/9/21,OptionsDaily_2022_09_21.csv,14424.51953,202209,2022/9/21,0,0.0122
2022/9/22,OptionsDaily_2022_09_22.csv,14284.62988,202210,2022/10/19,27,0.0122
2022/9/23,OptionsDaily_2022_09_23.csv,14118.37988,202210,2022/10/19,26,0.0122
2022/9/26,OptionsDaily_2022_09_26.csv,13778.19043,202210,2022/10/19,23,0.0135
2022/9/27,OptionsDaily_2022_09_27.csv,13826.58984,202210,2022/10/19,22,0.0135
2022/9/28,OptionsDaily_2022_09_28.csv,13466.07031,202210,2022/10/19,21,0.0135
2022/9/29,OptionsDaily_2022_09_29.csv,13534.25977,202210,2022/10/19,20,0.0135
2022/9/30,OptionsDaily_2022_09_30.csv,13424.58008,202210,2022/10/19,19,0.0135
2022/10/3,OptionsDaily_2022_10_03.csv,13300.48047,202210,2022/10/19,16,0.0135
2022/10/4,OptionsDaily_2022_10_04.csv,13576.51953,202210,2022/10/19,15,0.0135
2022/10/5,OptionsDaily_2022_10_05.csv,13801.42969,202210,2022/10/19,14,0.0135
2022/10/6,OptionsDaily_2022_10_06.csv,13892.0498,202210,2022/10/19,13,0.0135
2022/10/7,OptionsDaily_2022_10_07.csv,13702.28027,202210,2022/10/19,12,0.0135
2022/10/11,OptionsDaily_2022_10_11.csv,13106.03027,202210,2022/10/19,8,0.0135
2022/10/12,OptionsDaily_2022_10_12.csv,13081.24023,202210,2022/10/19,7,0.0135
2022/10/13,OptionsDaily_2022_10_13.csv,12810.73047,202210,2022/10/19,6,0.0135
2022/10/14,OptionsDaily_2022_10_14.csv,13128.12012,202210,2022/10/19,5,0.0135
2022/10/17,OptionsDaily_2022_10_17.csv,12966.0498,202210,2022/10/19,2,0.0135
2022/10/18,OptionsDaily_2022_10_18.csv,13124.67969,202210,2022/10/19,1,0.0135
2022/10/19,OptionsDaily_2022_10_19.csv,12976.75977,202210,2022/10/19,0,0.0135
2022/10/20,OptionsDaily_2022_10_20.csv,12946.09961,202211,2022/11/16,27,0.0135
2022/10/21,OptionsDaily_2022_10_21.csv,12819.2002,202211,2022/11/16,26,0.0135
2022/10/24,OptionsDaily_2022_10_24.csv,12856.98047,202211,2022/11/16,23,0.0135
2022/10/25,OptionsDaily_2022_10_25.csv,12666.12012,202211,2022/11/16,22,0.0135
2022/10/26,OptionsDaily_2022_10_26.csv,12729.0498,202211,2022/11/16,21,0.0135
2022/10/27,OptionsDaily_2022_10_27.csv,12926.37012,202211,2022/11/16,20,0.0135
2022/10/28,OptionsDaily_2022_10_28.csv,12788.41992,202211,2022/11/16,19,0.0135
2022/10/31,OptionsDaily_2022_10_31.csv,12949.75,202211,2022/11/16,16,0.0135
2022/11/1,OptionsDaily_2022_11_01.csv,13037.20996,202211,2022/11/16,15,0.0135
2022/11/2,OptionsDaily_2022_11_02.csv,13100.16992,202211,2022/11/16,14,0.0135
2022/11/3,OptionsDaily_2022_11_03.csv,12986.59961,202211,2022/11/16,13,0.0135
2022/11/4,OptionsDaily_2022_11_04.csv,13026.70996,202211,2022/11/16,12,0.0135
2022/11/7,OptionsDaily_2022_11_07.csv,13223.73047,202211,2022/11/16,9,0.0135
2022/11/8,OptionsDaily_2022_11_08.csv,13347.75977,202211,2022/11/16,8,0.0135
2022/11/9,OptionsDaily_2022_11_09.csv,13638.80957,202211,2022/11/16,7,0.0135
2022/11/10,OptionsDaily_2022_11_10.csv,13503.75977,202211,2022/11/16,6,0.0135
2022/11/11,OptionsDaily_2022_11_11.csv,14007.55957,202211,2022/11/16,5,0.0135
2022/11/14,OptionsDaily_2022_11_14.csv,14174.90039,202211,2022/11/16,2,0.0135
2022/11/15,OptionsDaily_2022_11_15.csv,14546.30957,202211,2022/11/16,1,0.0135
2022/11/16,OptionsDaily_2022_11_16.csv,14537.34961,202211,2022/11/16,0,0.0135
2022/11/17,OptionsDaily_2022_11_17.csv,14535.23047,202212,2022/12/21,34,0.0135
2022/11/18,OptionsDaily_2022_11_18.csv,14504.99023,202212,2022/12/21,33,0.0135
2022/11/21,OptionsDaily_2022_11_21.csv,14449.38965,202212,2022/12/21,30,0.0135
2022/11/22,OptionsDaily_2022_11_22.csv,14542.2002,202212,2022/12/21,29,0.0135
2022/11/23,OptionsDaily_2022_11_23.csv,14608.54004,202212,2022/12/21,28,0.0135
2022/11/24,OptionsDaily_2022_11_24.csv,14784,202212,2022/12/21,27,0.0135
2022/11/25,OptionsDaily_2022_11_25.csv,14778.50977,202212,2022/12/21,26,0.0135
2022/11/28,OptionsDaily_2022_11_28.csv,14556.87012,202212,2022/12/21,23,0.0135
2022/11/29,OptionsDaily_2022_11_29.csv,14709.63965,202212,2022/12/21,22,0.0135
2022/11/30,OptionsDaily_2022_11_30.csv,14879.5498,202212,2022/12/21,21,0.0135
2022/12/1,OptionsDaily_2022_12_01.csv,15012.7998,202212,2022/12/21,20,0.0135
2022/12/2,OptionsDaily_2022_12_02.csv,14970.67969,202212,2022/12/21,19,0.0135
2022/12/5,OptionsDaily_2022_12_05.csv,14980.74023,202212,2022/12/21,16,0.0135
2022/12/6,OptionsDaily_2022_12_06.csv,14728.87988,202212,2022/12/21,15,0.0135
2022/12/7,OptionsDaily_2022_12_07.csv,14630.00977,202212,2022/12/21,14,0.0135
2022/12/8,OptionsDaily_2022_12_08.csv,14553.04004,202212,2022/12/21,13,0.0135
2022/12/9,OptionsDaily_2022_12_09.csv,14705.42969,202212,2022/12/21,12,0.0135
2022/12/12,OptionsDaily_2022_12_12.csv,14612.58984,202212,2022/12/21,9,0.0135
2022/12/13,OptionsDaily_2022_12_13.csv,14522.95996,202212,2022/12/21,8,0.0135
2022/12/14,OptionsDaily_2022_12_14.csv,14739.36035,202212,2022/12/21,7,0.0135
2022/12/15,OptionsDaily_2022_12_15.csv,14734.12988,202212,2022/12/21,6,0.0135
2022/12/16,OptionsDaily_2022_12_16.csv,14528.5498,202212,2022/12/21,5,0.0135
2022/12/19,OptionsDaily_2022_12_19.csv,14433.32031,202212,2022/12/21,2,0.01475
2022/12/20,OptionsDaily_2022_12_20.csv,14170.03027,202212,2022/12/21,1,0.01475
2022/12/21,OptionsDaily_2022_12_21.csv,14234.40039,202212,2022/12/21,0,0.01475
2022/12/22,OptionsDaily_2022_12_22.csv,14442.94043,202301,2023/1/18,-337,0.01475
2022/12/23,OptionsDaily_2022_12_23.csv,14271.62988,202301,2023/1/19,-338,0.01475
2022/12/26,OptionsDaily_2022_12_26.csv,14285.12988,202301,2023/1/20,-341,0.01475
2022/12/27,OptionsDaily_2022_12_27.csv,14328.42969,202301,2023/1/21,-342,0.01475
2022/12/28,OptionsDaily_2022_12_28.csv,14173.09961,202301,2023/1/22,-343,0.01475
2022/12/29,OptionsDaily_2022_12_29.csv,14085.01953,202301,2023/1/23,-344,0.01475
2022/12/30,OptionsDaily_2022_12_30.csv,14137.69043,202301,2023/1/24,-345,0.01475
