Date,S0,File,Contract,ContractExpiryDate,Maturity,Rf
3/15/2022,"16,926.06",OptionsDaily_2022_03_15.csv,202203,3/16/2022,1,0.84
3/16/2022,"16,940.83",OptionsDaily_2022_03_16.csv,202204,4/20/2022,35,0.84
3/17/2022,"17,448.22",OptionsDaily_2022_03_17.csv,202204,4/20/2022,34,0.84
3/18/2022,"17,456.52",OptionsDaily_2022_03_18.csv,202204,4/20/2022,33,0.84
3/21/2022,"17,560.36",OptionsDaily_2022_03_21.csv,202204,4/20/2022,30,1.09
3/22/2022,"17,559.71",OptionsDaily_2022_03_22.csv,202204,4/20/2022,29,1.09
3/23/2022,"17,731.37",OptionsDaily_2022_03_23.csv,202204,4/20/2022,28,1.09
3/24/2022,"17,699.06",OptionsDaily_2022_03_24.csv,202204,4/20/2022,27,1.09
3/25/2022,"17,676.95",OptionsDaily_2022_03_25.csv,202204,4/20/2022,26,1.09
3/28/2022,"17,520.01",OptionsDaily_2022_03_28.csv,202204,4/20/2022,23,1.09
3/29/2022,"17,548.66",OptionsDaily_2022_03_29.csv,202204,4/20/2022,22,1.09
3/30/2022,"17,740.56",OptionsDaily_2022_03_30.csv,202204,4/20/2022,21,1.09
3/31/2022,"17,693.47",OptionsDaily_2022_03_31.csv,202204,4/20/2022,20,1.09
4/1/2022,"17,625.59",OptionsDaily_2022_04_01.csv,202204,4/20/2022,19,1.09
4/6/2022,"17,522.50",OptionsDaily_2022_04_06.csv,202204,4/20/2022,14,1.09
4/7/2022,"17,178.63",OptionsDaily_2022_04_07.csv,202204,4/20/2022,13,1.09
4/8/2022,"17,284.54",OptionsDaily_2022_04_08.csv,202204,4/20/2022,12,1.09
4/11/2022,"17,048.37",OptionsDaily_2022_04_11.csv,202204,4/20/2022,9,1.09
4/12/2022,"16,990.91",OptionsDaily_2022_04_12.csv,202204,4/20/2022,8,1.09
4/13/2022,"17,301.65",OptionsDaily_2022_04_13.csv,202204,4/20/2022,7,1.09
4/14/2022,"17,245.65",OptionsDaily_2022_04_14.csv,202204,4/20/2022,6,1.09
4/15/2022,"17,004.18",OptionsDaily_2022_04_15.csv,202204,4/20/2022,5,1.09
4/18/2022,"16,898.87",OptionsDaily_2022_04_18.csv,202204,4/20/2022,2,1.09
4/19/2022,"16,993.40",OptionsDaily_2022_04_19.csv,202204,4/20/2022,1,1.09
4/20/2022,"17,148.88",OptionsDaily_2022_04_20.csv,202205,5/18/2022,28,1.09
4/21/2022,"17,127.95",OptionsDaily_2022_04_21.csv,202205,5/18/2022,27,1.09
4/22/2022,"17,025.09",OptionsDaily_2022_04_22.csv,202205,5/18/2022,26,1.09
4/25/2022,"16,620.90",OptionsDaily_2022_04_25.csv,202205,5/18/2022,23,1.09
4/26/2022,"16,644.79",OptionsDaily_2022_04_26.csv,202205,5/18/2022,22,1.09
4/27/2022,"16,303.35",OptionsDaily_2022_04_27.csv,202205,5/18/2022,21,1.09
4/28/2022,"16,419.38",OptionsDaily_2022_04_28.csv,202205,5/18/2022,20,1.09
4/29/2022,"16,592.18",OptionsDaily_2022_04_29.csv,202205,5/18/2022,19,1.09
5/3/2022,"16,498.90",OptionsDaily_2022_05_03.csv,202205,5/18/2022,15,1.09
5/4/2022,"16,565.83",OptionsDaily_2022_05_04.csv,202205,5/18/2022,14,1.09
5/5/2022,"16,696.12",OptionsDaily_2022_05_05.csv,202205,5/18/2022,13,1.09
5/6/2022,"16,408.20",OptionsDaily_2022_05_06.csv,202205,5/18/2022,12,1.09
5/9/2022,"16,048.92",OptionsDaily_2022_05_09.csv,202205,5/18/2022,9,1.09
5/10/2022,"16,061.70",OptionsDaily_2022_05_10.csv,202205,5/18/2022,8,1.09
5/11/2022,"16,006.25",OptionsDaily_2022_05_11.csv,202205,5/18/2022,7,1.09
5/12/2022,"15,616.68",OptionsDaily_2022_05_12.csv,202205,5/18/2022,6,1.09
5/13/2022,"15,832.54",OptionsDaily_2022_05_13.csv,202205,5/18/2022,5,1.09
5/16/2022,"15,901.04",OptionsDaily_2022_05_16.csv,202205,5/18/2022,2,1.09
5/17/2022,"16,056.09",OptionsDaily_2022_05_17.csv,202205,5/18/2022,1,1.09
5/18/2022,"16,296.86",OptionsDaily_2022_05_18.csv,202206,6/15/2022,28,1.09
5/19/2022,"16,020.32",OptionsDaily_2022_05_19.csv,202206,6/15/2022,27,1.09
5/20/2022,"16,144.85",OptionsDaily_2022_05_20.csv,202206,6/15/2022,26,1.09
5/23/2022,"16,156.41",OptionsDaily_2022_05_23.csv,202206,6/15/2022,23,1.09
5/24/2022,"15,963.63",OptionsDaily_2022_05_24.csv,202206,6/15/2022,22,1.09
5/25/2022,"16,104.03",OptionsDaily_2022_05_25.csv,202206,6/15/2022,21,1.09
5/26/2022,"15,968.83",OptionsDaily_2022_05_26.csv,202206,6/15/2022,20,1.09
5/27/2022,"16,266.22",OptionsDaily_2022_05_27.csv,202206,6/15/2022,19,1.09
5/30/2022,"16,610.62",OptionsDaily_2022_05_30.csv,202206,6/15/2022,16,1.09
5/31/2022,"16,807.77",OptionsDaily_2022_05_31.csv,202206,6/15/2022,15,1.09
6/1/2022,"16,675.09",OptionsDaily_2022_06_01.csv,202206,6/15/2022,14,1.09
6/2/2022,"16,552.57",OptionsDaily_2022_06_02.csv,202206,6/15/2022,13,1.09
6/6/2022,"16,605.96",OptionsDaily_2022_06_06.csv,202206,6/15/2022,9,1.09
6/7/2022,"16,512.88",OptionsDaily_2022_06_07.csv,202206,6/15/2022,8,1.09
6/8/2022,"16,670.51",OptionsDaily_2022_06_08.csv,202206,6/15/2022,7,1.09
6/9/2022,"16,621.34",OptionsDaily_2022_06_09.csv,202206,6/15/2022,6,1.09
6/10/2022,"16,460.12",OptionsDaily_2022_06_10.csv,202206,6/15/2022,5,1.09
6/13/2022,"16,070.98",OptionsDaily_2022_06_13.csv,202206,6/15/2022,2,1.09
6/14/2022,"16,047.37",OptionsDaily_2022_06_14.csv,202206,6/15/2022,1,1.09
6/15/2022,"15,999.25",OptionsDaily_2022_06_15.csv,202207,7/20/2022,35,1.09
6/16/2022,"15,838.61",OptionsDaily_2022_06_16.csv,202207,7/20/2022,34,1.09
6/17/2022,"15,641.26",OptionsDaily_2022_06_17.csv,202207,7/20/2022,33,1.09
6/20/2022,"15,367.58",OptionsDaily_2022_06_20.csv,202207,7/20/2022,30,1.215
6/21/2022,"15,728.64",OptionsDaily_2022_06_21.csv,202207,7/20/2022,29,1.215
6/22/2022,"15,347.75",OptionsDaily_2022_06_22.csv,202207,7/20/2022,28,1.215
6/23/2022,"15,176.44",OptionsDaily_2022_06_23.csv,202207,7/20/2022,27,1.215
6/24/2022,"15,303.32",OptionsDaily_2022_06_24.csv,202207,7/20/2022,26,1.215
6/27/2022,"15,548.01",OptionsDaily_2022_06_27.csv,202207,7/20/2022,23,1.215
6/28/2022,"15,439.92",OptionsDaily_2022_06_28.csv,202207,7/20/2022,22,1.215
6/29/2022,"15,240.13",OptionsDaily_2022_06_29.csv,202207,7/20/2022,21,1.215
6/30/2022,"14,825.73",OptionsDaily_2022_06_30.csv,202207,7/20/2022,20,1.215
7/1/2022,"14,343.08",OptionsDaily_2022_07_01.csv,202207,7/20/2022,19,1.215
7/4/2022,"14,217.06",OptionsDaily_2022_07_04.csv,202207,7/20/2022,16,1.215
7/5/2022,"14,349.20",OptionsDaily_2022_07_05.csv,202207,7/20/2022,15,1.215
7/6/2022,"13,985.51",OptionsDaily_2022_07_06.csv,202207,7/20/2022,14,1.215
7/7/2022,"14,336.27",OptionsDaily_2022_07_07.csv,202207,7/20/2022,13,1.215
7/8/2022,"14,464.53",OptionsDaily_2022_07_08.csv,202207,7/20/2022,12,1.215
7/11/2022,"14,340.53",OptionsDaily_2022_07_11.csv,202207,7/20/2022,9,1.215
7/12/2022,"13,950.62",OptionsDaily_2022_07_12.csv,202207,7/20/2022,8,1.215
7/13/2022,"14,324.68",OptionsDaily_2022_07_13.csv,202207,7/20/2022,7,1.215
7/14/2022,"14,438.52",OptionsDaily_2022_07_14.csv,202207,7/20/2022,6,1.215
7/15/2022,"14,550.62",OptionsDaily_2022_07_15.csv,202207,7/20/2022,5,1.215
7/18/2022,"14,719.64",OptionsDaily_2022_07_18.csv,202207,7/20/2022,2,1.215
7/19/2022,"14,694.08",OptionsDaily_2022_07_19.csv,202207,7/20/2022,1,1.215
7/20/2022,"14,733.22",OptionsDaily_2022_07_20.csv,202208,8/17/2022,28,1.215
7/21/2022,"14,937.70",OptionsDaily_2022_07_21.csv,202208,8/17/2022,27,1.215
7/22/2022,"14,949.36",OptionsDaily_2022_07_22.csv,202208,8/17/2022,26,1.215
7/25/2022,"14,936.33",OptionsDaily_2022_07_25.csv,202208,8/17/2022,23,1.215
7/26/2022,"14,806.78",OptionsDaily_2022_07_26.csv,202208,8/17/2022,22,1.215
7/27/2022,"14,921.59",OptionsDaily_2022_07_27.csv,202208,8/17/2022,21,1.215
7/28/2022,"14,891.90",OptionsDaily_2022_07_28.csv,202208,8/17/2022,20,1.215
7/29/2022,"15,000.07",OptionsDaily_2022_07_29.csv,202208,8/17/2022,19,1.215
8/1/2022,"14,981.69",OptionsDaily_2022_08_01.csv,202208,8/17/2022,16,1.215
8/2/2022,"14,747.23",OptionsDaily_2022_08_02.csv,202208,8/17/2022,15,1.215
8/3/2022,"14,777.02",OptionsDaily_2022_08_03.csv,202208,8/17/2022,14,1.215
8/4/2022,"14,702.20",OptionsDaily_2022_08_04.csv,202208,8/17/2022,13,1.215
8/5/2022,"15,036.04",OptionsDaily_2022_08_05.csv,202208,8/17/2022,12,1.215
8/8/2022,"15,020.41",OptionsDaily_2022_08_08.csv,202208,8/17/2022,9,1.215
8/9/2022,"15,050.28",OptionsDaily_2022_08_09.csv,202208,8/17/2022,8,1.215
8/10/2022,"14,939.02",OptionsDaily_2022_08_10.csv,202208,8/17/2022,7,1.215
8/11/2022,"15,197.85",OptionsDaily_2022_08_11.csv,202208,8/17/2022,6,1.215
8/12/2022,"15,288.97",OptionsDaily_2022_08_12.csv,202208,8/17/2022,5,1.215
8/15/2022,"15,417.35",OptionsDaily_2022_08_15.csv,202208,8/17/2022,2,1.215
8/16/2022,"15,420.57",OptionsDaily_2022_08_16.csv,202208,8/17/2022,1,1.215
8/17/2022,"15,465.45",OptionsDaily_2022_08_17.csv,202209,9/21/2022,35,1.215
8/18/2022,"15,396.76",OptionsDaily_2022_08_18.csv,202209,9/21/2022,34,1.215
8/19/2022,"15,408.78",OptionsDaily_2022_08_19.csv,202209,9/21/2022,33,1.215
8/22/2022,"15,245.14",OptionsDaily_2022_08_22.csv,202209,9/21/2022,30,1.215
8/23/2022,"15,095.89",OptionsDaily_2022_08_23.csv,202209,9/21/2022,29,1.215
8/24/2022,"15,069.19",OptionsDaily_2022_08_24.csv,202209,9/21/2022,28,1.215
8/25/2022,"15,200.04",OptionsDaily_2022_08_25.csv,202209,9/21/2022,27,1.215
8/26/2022,"15,278.44",OptionsDaily_2022_08_26.csv,202209,9/21/2022,26,1.215
8/29/2022,"14,926.19",OptionsDaily_2022_08_29.csv,202209,9/21/2022,23,1.215
8/30/2022,"14,953.63",OptionsDaily_2022_08_30.csv,202209,9/21/2022,22,1.215
8/31/2022,"15,095.44",OptionsDaily_2022_08_31.csv,202209,9/21/2022,21,1.215
9/1/2022,"14,801.86",OptionsDaily_2022_09_01.csv,202209,9/21/2022,20,1.215
9/2/2022,"14,673.04",OptionsDaily_2022_09_02.csv,202209,9/21/2022,19,1.215
9/5/2022,"14,661.10",OptionsDaily_2022_09_05.csv,202209,9/21/2022,16,1.215
9/6/2022,"14,677.20",OptionsDaily_2022_09_06.csv,202209,9/21/2022,15,1.215
9/7/2022,"14,410.05",OptionsDaily_2022_09_07.csv,202209,9/21/2022,14,1.215
9/8/2022,"14,583.42",OptionsDaily_2022_09_08.csv,202209,9/21/2022,13,1.215
9/12/2022,"14,807.43",OptionsDaily_2022_09_12.csv,202209,9/21/2022,9,1.215
9/13/2022,"14,894.41",OptionsDaily_2022_09_13.csv,202209,9/21/2022,8,1.215
9/14/2022,"14,658.31",OptionsDaily_2022_09_14.csv,202209,9/21/2022,7,1.215
9/15/2022,"14,670.04",OptionsDaily_2022_09_15.csv,202209,9/21/2022,6,1.215
9/16/2022,"14,561.76",OptionsDaily_2022_09_16.csv,202209,9/21/2022,5,1.215
9/19/2022,"14,425.68",OptionsDaily_2022_09_19.csv,202209,9/21/2022,2,1.215
9/20/2022,"14,549.30",OptionsDaily_2022_09_20.csv,202209,9/21/2022,1,1.215
9/21/2022,"14,424.52",OptionsDaily_2022_09_21.csv,202210,10/19/2022,28,1.215
9/22/2022,"14,284.63",OptionsDaily_2022_09_22.csv,202210,10/19/2022,27,1.215
9/23/2022,"14,118.38",OptionsDaily_2022_09_23.csv,202210,10/19/2022,26,1.215
9/26/2022,"13,778.19",OptionsDaily_2022_09_26.csv,202210,10/19/2022,23,1.34
9/27/2022,"13,826.59",OptionsDaily_2022_09_27.csv,202210,10/19/2022,22,1.34
9/28/2022,"13,466.07",OptionsDaily_2022_09_28.csv,202210,10/19/2022,21,1.34
9/29/2022,"13,534.26",OptionsDaily_2022_09_29.csv,202210,10/19/2022,20,1.34
9/30/2022,"13,424.58",OptionsDaily_2022_09_30.csv,202210,10/19/2022,19,1.34
10/3/2022,"13,300.48",OptionsDaily_2022_10_03.csv,202210,10/19/2022,16,1.34
10/4/2022,"13,576.52",OptionsDaily_2022_10_04.csv,202210,10/19/2022,15,1.34
10/5/2022,"13,801.43",OptionsDaily_2022_10_05.csv,202210,10/19/2022,14,1.34
10/6/2022,"13,892.05",OptionsDaily_2022_10_06.csv,202210,10/19/2022,13,1.34
10/7/2022,"13,702.28",OptionsDaily_2022_10_07.csv,202210,10/19/2022,12,1.34
10/11/2022,"13,106.03",OptionsDaily_2022_10_11.csv,202210,10/19/2022,8,1.34
10/12/2022,"13,081.24",OptionsDaily_2022_10_12.csv,202210,10/19/2022,7,1.34
10/13/2022,"12,810.73",OptionsDaily_2022_10_13.csv,202210,10/19/2022,6,1.34
10/14/2022,"13,128.12",OptionsDaily_2022_10_14.csv,202210,10/19/2022,5,1.34
10/17/2022,"12,966.05",OptionsDaily_2022_10_17.csv,202210,10/19/2022,2,1.34
10/18/2022,"13,124.68",OptionsDaily_2022_10_18.csv,202210,10/19/2022,1,1.34
10/19/2022,"12,976.76",OptionsDaily_2022_10_19.csv,202211,11/16/2022,28,1.34
10/20/2022,"12,946.10",OptionsDaily_2022_10_20.csv,202211,11/16/2022,27,1.34
10/21/2022,"12,819.20",OptionsDaily_2022_10_21.csv,202211,11/16/2022,26,1.34
10/24/2022,"12,856.98",OptionsDaily_2022_10_24.csv,202211,11/16/2022,23,1.34
10/25/2022,"12,666.12",OptionsDaily_2022_10_25.csv,202211,11/16/2022,22,1.34
10/26/2022,"12,729.05",OptionsDaily_2022_10_26.csv,202211,11/16/2022,21,1.34
10/27/2022,"12,926.37",OptionsDaily_2022_10_27.csv,202211,11/16/2022,20,1.34
10/28/2022,"12,788.42",OptionsDaily_2022_10_28.csv,202211,11/16/2022,19,1.34
10/31/2022,"12,949.75",OptionsDaily_2022_10_31.csv,202211,11/16/2022,16,1.34
11/1/2022,"13,037.21",OptionsDaily_2022_11_01.csv,202211,11/16/2022,15,1.34
11/2/2022,"13,100.17",OptionsDaily_2022_11_02.csv,202211,11/16/2022,14,1.34
11/3/2022,"12,986.60",OptionsDaily_2022_11_03.csv,202211,11/16/2022,13,1.34
11/4/2022,"13,026.71",OptionsDaily_2022_11_04.csv,202211,11/16/2022,12,1.34
11/7/2022,"13,223.73",OptionsDaily_2022_11_07.csv,202211,11/16/2022,9,1.34
11/8/2022,"13,347.76",OptionsDaily_2022_11_08.csv,202211,11/16/2022,8,1.34
11/9/2022,"13,638.81",OptionsDaily_2022_11_09.csv,202211,11/16/2022,7,1.34
11/10/2022,"13,503.76",OptionsDaily_2022_11_10.csv,202211,11/16/2022,6,1.34
11/11/2022,"14,007.56",OptionsDaily_2022_11_11.csv,202211,11/16/2022,5,1.34
11/14/2022,"14,174.90",OptionsDaily_2022_11_14.csv,202211,11/16/2022,2,1.34
11/15/2022,"14,546.31",OptionsDaily_2022_11_15.csv,202211,11/16/2022,1,1.34
11/16/2022,"14,537.35",OptionsDaily_2022_11_16.csv,202212,12/21/2022,35,1.34
11/17/2022,"14,535.23",OptionsDaily_2022_11_17.csv,202212,12/21/2022,34,1.34
11/18/2022,"14,504.99",OptionsDaily_2022_11_18.csv,202212,12/21/2022,33,1.34
11/21/2022,"14,449.39",OptionsDaily_2022_11_21.csv,202212,12/21/2022,30,1.34
11/22/2022,"14,542.20",OptionsDaily_2022_11_22.csv,202212,12/21/2022,29,1.34
11/23/2022,"14,608.54",OptionsDaily_2022_11_23.csv,202212,12/21/2022,28,1.34
11/24/2022,"14,784.00",OptionsDaily_2022_11_24.csv,202212,12/21/2022,27,1.34
11/25/2022,"14,778.51",OptionsDaily_2022_11_25.csv,202212,12/21/2022,26,1.34
11/28/2022,"14,556.87",OptionsDaily_2022_11_28.csv,202212,12/21/2022,23,1.34
11/29/2022,"14,709.64",OptionsDaily_2022_11_29.csv,202212,12/21/2022,22,1.34
11/30/2022,"14,879.55",OptionsDaily_2022_11_30.csv,202212,12/21/2022,21,1.34
12/1/2022,"15,012.80",OptionsDaily_2022_12_01.csv,202212,12/21/2022,20,1.34
12/2/2022,"14,970.68",OptionsDaily_2022_12_02.csv,202212,12/21/2022,19,1.34
12/5/2022,"14,980.74",OptionsDaily_2022_12_05.csv,202212,12/21/2022,16,1.34
12/6/2022,"14,728.88",OptionsDaily_2022_12_06.csv,202212,12/21/2022,15,1.34
12/7/2022,"14,630.01",OptionsDaily_2022_12_07.csv,202212,12/21/2022,14,1.34
12/8/2022,"14,553.04",OptionsDaily_2022_12_08.csv,202212,12/21/2022,13,1.34
12/9/2022,"14,705.43",OptionsDaily_2022_12_09.csv,202212,12/21/2022,12,1.34
12/12/2022,"14,612.59",OptionsDaily_2022_12_12.csv,202212,12/21/2022,9,1.34
12/13/2022,"14,522.96",OptionsDaily_2022_12_13.csv,202212,12/21/2022,8,1.34
12/14/2022,"14,739.36",OptionsDaily_2022_12_14.csv,202212,12/21/2022,7,1.34
12/15/2022,"14,734.13",OptionsDaily_2022_12_15.csv,202212,12/21/2022,6,1.34
12/16/2022,"14,528.55",OptionsDaily_2022_12_16.csv,202212,12/21/2022,5,1.34
12/19/2022,"14,433.32",OptionsDaily_2022_12_19.csv,202212,12/21/2022,2,1.465
12/20/2022,"14,170.03",OptionsDaily_2022_12_20.csv,202212,12/21/2022,1,1.465
12/21/2022,"14,234.40",OptionsDaily_2022_12_21.csv,202301,1/30/2023,40,1.465
12/22/2022,"14,442.94",OptionsDaily_2022_12_22.csv,202301,1/30/2023,39,1.465
12/23/2022,"14,271.63",OptionsDaily_2022_12_23.csv,202301,1/30/2023,38,1.465
12/26/2022,"14,285.13",OptionsDaily_2022_12_26.csv,202301,1/30/2023,35,1.465
12/27/2022,"14,328.43",OptionsDaily_2022_12_27.csv,202301,1/30/2023,34,1.465
12/28/2022,"14,173.10",OptionsDaily_2022_12_28.csv,202301,1/30/2023,33,1.465
12/29/2022,"14,085.02",OptionsDaily_2022_12_29.csv,202301,1/30/2023,32,1.465
12/30/2022,"14,137.69",OptionsDaily_2022_12_30.csv,202301,1/30/2023,31,1.465
