Date,Call_IV_Mean,Call_IV_Std,Put_IV_Mean,Put_IV_Std,PCR_Value
2019/07/09,0.028763268,0.02006258,0.03106433,0.021065709,1.15
2019/07/10,0.023216853,0.01116831,0.025074202,0.011726725,1.15
2019/07/11,0.017526927,0.01362565,0.018929081,0.014306932,1.15
2019/07/12,0.016885462,0.011390531,0.018236299,0.011960058,1.15
2019/07/15,0.026387764,0.036622286,0.028498785,0.0384534,1.15
2019/07/16,0.018743882,0.017513858,0.020243393,0.018389551,1.15
2019/07/17,0.012668914,0.008134529,0.013682427,0.008541256,1.15
2019/07/18,0.014260037,0.007125567,0.01540084,0.007481846,1.15
2019/07/19,0.010327683,0.006420092,0.011153897,0.006741097,1.15
2019/07/22,0.007619204,0.006388162,0.00822874,0.00670757,1.15
2019/07/23,0.008279656,0.004581491,0.008942029,0.004810566,1.15
2019/07/24,0.012156123,0.007859725,0.013128613,0.008252711,1.15
2019/07/25,0.014673558,0.00685825,0.015847443,0.007201163,1.15
2019/07/26,0.010407135,0.006872983,0.011239706,0.007216632,1.15
2019/07/29,0.01116545,0.005110976,0.012058686,0.005366524,1.15
2019/07/30,0.01119699,0.00617692,0.012092749,0.006485766,1.15
2019/07/31,0.012228727,0.008305089,0.013207025,0.008720344,1.15
2019/08/01,0.019806864,0.014998553,0.021391413,0.015748481,1.15
2019/08/02,0.022524613,0.017711448,0.024326582,0.01859702,1.15
2019/08/05,0.033932233,0.023947361,0.036646812,0.02514473,1.15
2019/08/06,0.035423218,0.028932189,0.038257075,0.030378798,1.15
2019/08/07,0.039638562,0.038964232,0.042809647,0.040912444,1.15
2019/08/08,0.035127967,0.02959654,0.037938204,0.031076367,1.15
2019/08/12,0.023897135,0.014008979,0.025808906,0.014709428,1.15
2019/08/13,0.04060584,0.038020163,0.043854307,0.039921172,1.15
2019/08/14,0.040133263,0.033109185,0.043343924,0.034764644,1.15
2019/08/15,0.038856704,0.023746286,0.04196524,0.024933601,1.15
2019/08/16,0.029128487,0.018840681,0.031458766,0.019782715,1.15
2019/08/19,0.025673178,0.014080457,0.027727032,0.01478448,1.15
2019/08/20,0.028384141,0.018377807,0.030654872,0.019296698,1.15
2019/08/21,0.036669159,0.018022197,0.039602691,0.018923306,1.15
2019/08/22,0.014609231,0.002944144,0.01577797,0.003091351,1.15
2019/08/26,0.014863868,0.004145227,0.016052977,0.004352488,1.15
2019/08/27,0.032833811,0.007836771,0.035460516,0.00822861,1.15
2019/08/28,0.013517917,0,0.014599351,0,1.15
2019/09/02,0.109982205,0.048505972,0.118780782,0.050931271,1.15
2019/09/03,0.087101077,0.034122002,0.094069163,0.035828102,1.15
2019/09/04,0.023685869,0.01444355,0.025580738,0.015165727,1.15
2019/09/05,0.019571576,0.018297195,0.021137302,0.019212055,1.15
2019/09/06,0.011314557,0.013147737,0.012219721,0.013805124,1.15
2019/09/09,0.016230731,0.023417243,0.01752919,0.024588105,1.15
2019/09/10,0.01412361,0.013080464,0.015253499,0.013734488,1.15
2019/09/11,0.019770084,0.013966288,0.021351691,0.014664602,1.15
2019/09/12,0.028759973,0.031163243,0.031060771,0.032721405,1.15
2019/09/16,0.013388609,0.011205805,0.014459698,0.011766095,1.15
2019/09/17,0.010527943,0.015499711,0.011370178,0.016274697,1.15
2019/09/18,0.02225795,0.007497603,0.024038586,0.007872483,1.15
2019/09/19,0.018395421,0.007761291,0.019867055,0.008149355,1.15
2019/09/20,0.012402567,0.005869634,0.013394772,0.006163116,1.15
2019/09/23,0.009547261,0.00548902,0.010311042,0.005763471,1.15
2019/09/24,0.011725694,0.006452514,0.012663749,0.00677514,1.15
2019/09/25,0.010273124,0.006339384,0.011094974,0.006656353,1.15
2019/10/01,0.041958261,0.021693352,0.045314922,0.022778019,1.15
2019/10/02,0.036810171,0.016939627,0.039754985,0.017786608,1.15
2019/10/03,0.024092385,0.013126858,0.026019775,0.013783201,1.15
2019/10/04,0.021543982,0.01326004,0.023267501,0.013923042,1.15
2019/10/07,0.018133321,0.014051076,0.019583987,0.01475363,1.15
2019/10/08,0.02715881,0.017776229,0.029331515,0.01866504,1.15
2019/10/09,0.024147874,0.015287422,0.026079704,0.016051793,1.15
2019/10/14,0.050738426,0.021696098,0.0547975,0.022780903,1.15
2019/10/15,0.0561984,0.021386681,0.060694271,0.022456016,1.15
2019/10/16,0.063139365,0.027172795,0.068190515,0.028531435,1.15
2019/10/17,0.084174122,0.016793955,0.090908052,0.017633653,1.15
2019/10/18,0.090982688,0.021176203,0.098261303,0.022235013,1.15
2019/10/21,0.076758117,0.018113196,0.082898766,0.019018856,1.15
2019/10/22,0.086577336,0.026295691,0.093503523,0.027610475,1.15
2019/10/23,0.078687595,0.028184869,0.084982603,0.029594112,1.15
2019/10/24,0.105471731,0.023660556,0.113909469,0.024843584,1.15
2019/10/25,0.114552698,0.026799283,0.123716914,0.028139247,1.15
2019/10/28,0.110049359,0.027237726,0.118853308,0.028599612,1.15
2019/10/29,0.108083033,0.03075613,0.116729676,0.032293937,1.15
2019/10/30,0.095801635,0.029750401,0.103465766,0.031237922,1.15
2019/11/01,0.132107111,0.036355952,0.14267568,0.03817375,1.15
2019/11/04,0.164170679,0.055153086,0.177304333,0.057910741,1.15
2019/11/05,0.190538516,0.058754961,0.205781598,0.061692709,1.15
2019/11/06,0.175052864,0.060713387,0.189057094,0.063749056,1.15
2019/11/07,0.193726354,0.046093395,0.209224463,0.048398065,1.15
2019/11/08,0.188788423,0.043702683,0.203891497,0.045887817,1.15
2019/11/11,0.151038918,0.040339303,0.163122031,0.042356268,1.15
2019/11/12,0.144602912,0.037498915,0.156171145,0.039373861,1.15
2019/11/13,0.129395721,0.038612001,0.139747379,0.040542602,1.15
2019/11/14,0.1550805,0.033357458,0.16748694,0.035025331,1.15
2019/11/15,0.167215413,0.038370269,0.180592646,0.040288783,1.15
2019/11/18,0.165332845,0.039808777,0.178559473,0.041799216,1.15
2019/11/19,0.171765221,0.045559296,0.185506439,0.047837261,1.15
2019/11/20,0.153327332,0.047498045,0.165593519,0.049872947,1.15
2019/11/21,0.167579466,0.034477404,0.180985823,0.036201274,1.15
2019/11/22,0.169148947,0.03427084,0.182680863,0.035984383,1.15
2019/11/25,0.167217294,0.037442931,0.180594677,0.039315077,1.15
2019/11/26,0.166383073,0.039650958,0.179693719,0.041633506,1.15
2019/11/27,0.145801109,0.042154524,0.157465197,0.04426225,1.15
2019/12/02,0.154627359,0.042167716,0.166997548,0.044276101,1.15
2019/12/03,0.148329745,0.042424451,0.160196124,0.044545673,1.15
2019/12/04,0.136242007,0.044392482,0.147141367,0.046612107,1.15
2019/12/05,0.184018056,0.043628464,0.198739501,0.045809887,1.15
2019/12/06,0.188415466,0.045996146,0.203488704,0.048295953,1.15
2019/12/09,0.187474108,0.046355829,0.202472037,0.04867362,1.15
2019/12/10,0.16890921,0.045402668,0.182421947,0.047672801,1.15
2019/12/11,0.16506572,0.049392697,0.178270978,0.051862332,1.15
2019/12/12,0.23947853,0.061523874,0.258636812,0.064600068,1.15
2019/12/13,0.265899449,0.062431758,0.287171404,0.065553346,1.15
2019/12/16,0.243681287,0.058632302,0.26317579,0.061563917,1.15
2019/12/17,0.24798218,0.073700249,0.267820755,0.077385262,1.15
2019/12/18,0.240854687,0.071780599,0.260123062,0.075369629,1.15
2019/12/19,0.256813016,0.044920368,0.277358057,0.047166386,1.15
2019/12/20,0.247971844,0.042712338,0.267809591,0.044847955,1.15
2019/12/23,0.229789102,0.044907348,0.24817223,0.047152716,1.15
2019/12/24,0.219024013,0.048041072,0.236545934,0.050443125,1.15
2019/12/25,0.192137442,0.049996691,0.207508437,0.052496526,1.15
